ID_encrypt,Start_Date,End_Date,1st_choice_elective,2ndchoice_elective,Quarter
0x0178D4DF97EEA14354D7F9F4F063830A0CE54026E1AC91CFB474BCE94EC6947A8BE4705473061F95C5CB60F076256B43FB4F16685E99CDECDA26E91E05E883777E,10/24/2016 12:26,10/24/2016 13:00,Word Play (Academic Vocabulary Development),American Pronunciation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0166BC37F28B0E41586D0A6FC20FCFD5F381E9E00E824E359DE5470B27F919C04D658696F4E0064125DDE3D4AD511DB157695993097F4FE935CC53CF02678C97AF,10/24/2016 12:08,10/24/2016 12:09,TOEFL Preparation,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x011A5929116B11F90AB39F4360B8278A5F481633E426CFA88CC1D08ACD5EC532E7BA7CE4257493764A90945BF9E2745A760BC90D486A1F2F180ECFFFE409A8609C,10/24/2016 10:47,10/24/2016 10:52,IELTS Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01606E3AD68F19C59C54E56CBB00AB758BED6F8D65C013EE0B1070F6BCD604433F8A260F2CFB4295E1E2BDCAA2BA17C2B90E43FD5A5B14B714E9DB1ED86D7ABF6E,10/24/2016 10:45,10/24/2016 10:55,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01A0D8D8C31D9AE1ED4E30F3BF9D7F2DB99ACBF843E2ECF509B72F9C4857CECC847FBB861BE5A283CC4E2DEDA3251A32E79F4DC07A97CB1F56C8699AC0848BFC20,10/23/2016 21:24,10/23/2016 21:26,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0146DF1C0B2BC4E17A9E186F0AADABBBF4C6EF4B4A05A2A807CF475AE6DB493D24E3FAC8DB394B228832AE7849D0EFF2909B4DA0BFDF337B3491CC8E6D48D52DB5,10/23/2016 21:20,10/23/2016 21:23,IELTS Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0110DAA36883969AD65E75339A5A32FFB927DBD78F3EED4EA6AED419723760E5C5B8D624E4B3214FA631FF4E13D0E7807FB18C32C6AC6D349AF96150CAFEA89CA0,10/23/2016 18:35,10/23/2016 21:59,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01AC4971BD7DD614E5304D0284022C2442129B4E58FF832243C7735ADD60C03C17387FBE03187EA0B49488D4166AE47D28BD41BC6BB0022DB4EE72F504EAD2E86B,10/23/2016 14:17,10/23/2016 14:18,TOEFL Preparation,American Pronunciation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01414FF54DA947BD0C780C6E5F6CA087D61D83C454A35B83B1D9DF960125FDE4021C6B60B5EA46F662B551A4C6DD4FA8B982569D84175AA908E147BA8F03D00A44,10/23/2016 12:20,10/23/2016 12:22,Word Play (Academic Vocabulary Development),English Through Drama,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01718D67E8513B340CC9DE58DED5C4465D19503407AE84857AFE9DAB2633F8EC4A954661B263602362821D9881D885D4CFE6299562AF4D84857D77DB7E6CFC9E36,10/23/2016 12:14,10/23/2016 12:15,American Idioms and Slang,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0180457357D79F2A7D315CED6A5A4C5A520AC54A79AFBDBA3A3558145AD945BF0E70AEFC6425738A32B9EA13942CCD20E47E4CDD999F51366EB95516A21B66D3CB,10/23/2016 10:45,10/23/2016 10:50,TOEFL Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01E4F17DFB304677BDE3B3170CFD101A60DE4523169109121A48E5856B400D3E238F4D64C4336204E52B04F4AFEC1FF387656ACC03DAE59382BEDCEA2FE0BAB105,10/23/2016 0:37,10/23/2016 0:38,American Pronunciation,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x013DD4042802C253619899287AB03F633379EA2261CFD406E7234D63D82B2D3B5E3DBD2528FC1ACFE4D79A6356B30F510BA6900812E8A436ABA4981E2FECF226BE,10/22/2016 22:16,10/22/2016 22:17,TOEFL Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01EA7FFC9CD1BE38E523E38FCB6F7AFC353B50095B215EC91BE0EF28EE890B6DF5EEC9BC1825B0889DD34052B7E2497E5BADBE8E8B919B9589587978752392B3B2,10/22/2016 18:49,10/22/2016 18:54,American Idioms and Slang,Current Events,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0178A8A04FFD2C16397FD9C1E8336B23CBAD0CBBDFAE6BAA53D33188A2005F2398567B14D6D7B4ED33AF836A711B692DEAB5CAB941CC4E8EF5F912301F1263BE74,10/22/2016 18:40,10/22/2016 18:42,English Through Drama,Current Events,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x019B0BDCDA9548D636D59267F7BDBABA0A9F60FA294F80C6F92BE90F6245C32D176DE75DC38ADA803D87477D2BA5D84DFF03953DAF2EE0ED9D9A8CF5C25629654A,10/22/2016 18:23,10/22/2016 18:24,Word Play (Academic Vocabulary Development),Current Events,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0121AC34F41B120987A402576C642A2F6EB84B69E46C33266FAE56E43FA5C1DE1095B123A547DAFF3DB86355846E91AABE09B6BFF4B59A26430D845DAE38A1BE62,10/22/2016 17:12,10/22/2016 17:24,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01779ABB01FFEC8F378184894C60CD13AC87164130CA84E4574853F860E701090FEDC1249C8EFF7D9C7D35FA067A6FA8AB3AFE0CDEB305E06CB928DFA6EA7874D4,10/22/2016 16:30,10/22/2016 16:31,TOEFL Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x013A12DC881CBB8BDC605EDCAF5211ACE3D3B8B5CCB151576BB9E7DCBB0152CE618236729DB1CA14C025692CB7362566084ECCE152BA5471E3AC84C136DB142E5A,10/22/2016 13:31,10/22/2016 13:33,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x019BC58D954ADFCD12EB2E0FAFA95A663437570DE404DB09EE99B87273E1ED31C82C1703DC03BCF52C8A421FA897DA13F5558B72B83D3CB4A617F18C03C627175B,10/22/2016 12:34,10/22/2016 12:46,Word Play (Academic Vocabulary Development),IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01C73D1FDA0FB9B5469AF911A1D3812DAC0AE91B7E11F6610D27AE3A86F59ECDD5AC5DB3F83307D3F2CD0B68689292BFE041EA073B0215A0560EFF917FCC543787,10/22/2016 12:23,10/22/2016 12:25,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x017BC18EDF63DFA20CC274AF5BF1233994B243C4341C21773F3A8C2BA189751BE914A1FF5A118A55217BB1954102FC3119ACA07DF7D39C15898B1FFBEE64CDDCBF,10/22/2016 12:17,10/22/2016 12:18,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x013EE58E9CAC52EB892CFCCA93C73E989F96A3E4DD475DE3A098FBE9505195954AAD0624DEFA9CECCAF07BD659D7FBE2E3902B18699982A892D7074859335922C1,10/22/2016 12:00,10/22/2016 12:02,TOEFL Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x018B3D568F03C762B591C46DD6E83787D6A8A325A09E3AEB4B492CC3CDC858B695FCE5DFFCC48556AF06FBBDB06A7FD4036266C1AA5A12BA3A040229CF1E465489,10/22/2016 0:33,10/22/2016 0:35,IELTS Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0163F5BA136876FC92F1585525EF269A961518FCA0A1ADBFE53DB9CF2E5FA70304C1F678A477E89B3184E5C4080DC15F74BD482141930A3C1F26AE4997392A7BD8,10/21/2016 23:03,10/22/2016 0:04,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01FCB4F1964D8100207C2FE0669CE9100BD3A9C158F491CE2E597F850A039169A73DB7E912A79A45FBE4AB15F2BA97469CD4F3B50A57609FAC83B53EDB68E4563E,10/21/2016 18:11,10/21/2016 18:13,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01DDFF88F41DCD9450CBB6DD6E8B7B102D3B40393B224C7A12E03D8B0C3A7065462D98F0FFE1A2242049296EF5AEFA7DF431B50C44CCA294BFD7BD80AEFAC47AD7,10/21/2016 16:26,10/21/2016 16:55,American Pronunciation,American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01E867262D8F3D34CFB7759028C5FE9113318030BF95CA43BE0144726280807EE865407186623A9A22202BD14B6125DA96FCEFC9BED84F21AE830D69BA05A13739,10/21/2016 14:48,10/21/2016 14:50,TOEFL Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x013CDDFECB46A28D94950BC22314D4F14F30B0506B0955C807E7A3E9E1CB318D195655B0D0CB75BA00D9055A9CE0797CB8457C5D8187373E5631C3E0BA27BF601F,10/21/2016 14:35,10/21/2016 14:41,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x014296CDCCDEC4F97819712589DAAF8C4AAB3CD22A776018AAC11AF5BEFB85B5C03257B387578859040EB2AD87D679EC4F4B1B242470E4D57C75462766B31ADBBF,10/21/2016 12:39,10/25/2016 18:37,Word Play (Academic Vocabulary Development),American Pronunciation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01E896111C14750FF43CDC8C9BDBD6C7A4BB04A121DC102D37155D43FCD7A19A90CE5C6CD6F17A9615F4C050E5041961009F456A04B880512CF959687682F2BBCF,10/21/2016 12:33,10/21/2016 12:37,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0109AD5959D699B3C839D7873E0BFAF30DF61E3D2DBEEAA7968BEC8C137DDA8181C0A9FB62D7E823386527D827917C7E55E6249F04B3187EC026FBA9532BD1B217,10/21/2016 10:08,10/21/2016 11:16,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01284AF2D592F0AAC501E5C1BC7DEBBFEFC6D93E4176CA10AF690081F0E04394C29041A5C9D4714B39FAB3067172056284319F3275EAFE79DBD6CE0E1B830CA717,10/21/2016 9:18,10/21/2016 10:58,Word Play (Academic Vocabulary Development),IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01A9DDAE0772754BA157D982143B06D45F43FD9A66ED4AC1CA2B5079248F5FDB6DA49B6B91FBFB1209353AC6E561964389CE758144DF5104B37C0F6F598DFF9C33,10/21/2016 10:34,10/21/2016 10:38,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x01B4E2B84D6958C4E0081589892B13BB991E3796D8AD4BF4CBDB1425527FFA00582611317DBF0C06225562E36407FAB11F5415D6836C8DC22C3B26A9918DDE65C3,10/21/2016 10:25,10/21/2016 10:26,Word Play (Academic Vocabulary Development),IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x017825C8EF8C46ACED710083CC2727D0884E589BE73E42AD3DA6E5FB92540C5FB0BD934E9B6A7ECD28571F5A576F9F50034ED50F61742EF47E220C80F1156050A8,10/21/2016 9:55,10/21/2016 9:59,IELTS Preparation,American Pronunciation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x016A4E9B69012F5D4B263694C6030EA7833A9BFC2FEF43E45168FC8FFB689E3FEBEECF2425D9E8F7BDB50945E9AE6D4A46524F4E6182BCBDD9EFF63EFC7262BFE7,10/21/2016 9:17,10/21/2016 9:18,TOEFL Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Intermediate
0x0108455AC93E1591FD7A0399B0EEF51EBB1F98D56E04562DDF2168F3919F6F22A7246A554E0D9D161B51A2A7D6BAC907BE7EFDF39BB67401D04A228A667060AF55,4/28/2016 12:17,4/28/2016 12:19,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01BFDAFD48175D3F5DB2C0786079B65DEFD39BEA45F9AFE526C2DC07DD7052C7A1B48807051D1FF4573220DB1C785584F59B48763A4390544380D87A983DD5BB09,4/27/2016 22:55,4/27/2016 22:57,American Idioms and Slang,American Idioms and Slang,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x0121E22A324282BDA84A216B4BAFB161DC95B0E1DFF1965EAD0216B28F2056D3E9424C8FD758F08901F26282E6383F587746BB7C9E87D8B907466B6AD95A33F75B,4/27/2016 9:03,4/27/2016 9:03,IELTS Preparation,IELTS Preparation,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01F60744BF13CCA9A6CB7DA7CD7B5E383C1E2BF0701993F37E4A264C597774BD26F82E8AC4D869D15C13C1A2D6200F32DEA12DC4205138C0CBED87CFA45A23EFA1,4/26/2016 17:16,4/26/2016 17:17,American Idioms and Slang,American Idioms and Slang,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01603B346595CB9B5B0921D69EE01762B78C6D676E759BD2F8621DA9055EDE63FA82576F5164B6FC7024E7CD69EE0E41379B026BCBE8AB3C89E5490D2BFE9BF5D8,4/26/2016 15:57,4/26/2016 15:59,Word Play (Academic Vocabulary Development),Current Events,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01778D32D3541EF20221C3F06649536489E17F34381EE8B6B66EAA0B9790988A8A0A1C4E9B41951B73FD6079C21896D03FC31FA960A6E8C405F0DA51053EA5A536,4/26/2016 15:48,4/26/2016 15:49,TOEFL Preparation,TOEFL Preparation,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x010CCE0BE108CDC7B40DD5D168BEA3C302221D3163DB3C6E0180196B23FF0E884B6968EB65A95A15198CB1AD0BD2AE6E89F66409DCBA0088294767B8E4DB1A4BB4,4/26/2016 13:01,4/26/2016 15:15,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x0159422D72AE100C910A8C4234E9A2B879735E3EB0A7A17A64F1DCC0DC4F874ED1A12B805013BCB0BE6BB3FC48929EB060C9E3401E18D6ED996FB4E62AAD7CB321,4/26/2016 15:13,4/26/2016 15:14,IELTS Preparation,TOEFL Preparation,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x017701C70F859BCCCB18154057BBA1F58C986E317B10116C6DB11E72A7AC8DA2BFE7796334E15BF4FE23955F134C9074EB79B4C1986468B17E4455CF07648A92FA,4/26/2016 13:55,4/26/2016 13:57,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01E5358B57327BD14A65BF9F5A1142EEC6FDC68F9BA6D6BAEF7D7C5C4644D36AA0056E1591AEAF752278A908EAC1EE80E1354994F4A2A44D6FB5A1730413613CFC,4/26/2016 13:54,4/26/2016 13:55,IELTS Preparation,IELTS Preparation,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x016DF0CAE00A5FB27631EA7EBB7E13BD66D83F247703DAB1697EF5229BA258F9AFCA4EF15C6957D3DBB1BEE2D91735CF21A2AB5C8558B37910E6E5D3F562A4E458,4/26/2016 13:17,4/26/2016 13:21,NULL,NULL,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x018C1EE5FF47ECC66C3B6D8D7ABFC6FB09345CB0F5D40D60548B80435C7FB1BAFFD7E5E5CB5222859F5AA39B62A286D70D633B3FC1EBA60F009BB09F9C9A02809C,4/26/2016 13:11,4/26/2016 13:14,IELTS Preparation,American Idioms and Slang,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01BDE26CA9E193C12B42069FA8B6A3CC5DA6E73EDE190D54382E5318898EED80080B75410B70828BCD19B63F56AAC6BD4BC4231459F58A492680D3171FF37454F8,4/26/2016 12:09,4/26/2016 12:10,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01D6ADDB7F5CAF69067D56DDFBD24CBE58DFFDE6A01FDD36428354C489E7B6E51D1A5CECEFD2903B68A4E3A55BB8C36481131CA776E69F42ADDBEBC889F88FF44E,4/26/2016 10:52,4/26/2016 10:54,Word Play (Academic Vocabulary Development),IELTS Preparation,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x013F0D81F8EB97212DFC95499FAFA1A3466AF12DE68B0F4745BE32664E008A5B8956B5248FE830F6E05F86C6AE84E28E8B8740E3EE2217DE15A9ACE83AF14F6756,4/26/2016 10:32,4/26/2016 10:35,IELTS Preparation,TOEFL Preparation,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x012CF2952C7408334C4DADCDC2419042A77504DEBE021A40ADE15C9FB76329235B3A27B5E8472522E357D85097B278B4400549B753C63BD5039DE1E63D31B2B1C1,4/26/2016 10:19,4/26/2016 10:20,American Pronunciation,English Through Drama,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01177C2F2E64A7115FF6E97AD8105BCA92F15CF3902F71333ED227A366CA36FB56BB2770697BD21492B9EE8B605310091AA27C61DAE0CA019151C9D1F10EB740F1,4/26/2016 9:59,4/26/2016 10:01,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x012F8AEF4CD14385CFEF2CF5E6BD6945FC6A700CEB02A865DB79587345EC4AA612B62256EA32A90AE0A5124ECEC4D9184B73CD00EFD353A417B1AC406E35FED8DE,4/26/2016 9:52,4/26/2016 9:53,American Pronunciation,American Idioms and Slang,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01FE5C2FBFCB0D8C9763EFF4DE0276E4E6370E5FBE8393F8504DE667799D706676AC36DD524EC2C73CF930BF4DBA75D73212E0DFE643323EE32F69127699FE6D6B,4/26/2016 9:06,4/26/2016 9:07,American Pronunciation,TOEFL Preparation,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01A5B962B2DC22F64D4F1657EE1EEA6B315B91121AC516D878C176FDF09B3BAAEBD56B7F6F645EC6399F6DE023AE6FFB2AC59FC4F10EEB7867F2797A4ECD00C041,4/26/2016 8:48,4/26/2016 8:50,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x019C8F8A199E6D9C51D89915E3967629C415E7090A14650956A886C025BA2515655B585E3C2D3932470329A74F83708611D3233F8AB71F123545EAC016C38063EC,4/25/2016 18:56,4/25/2016 18:59,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x012AED001F0FE6497F6295FBA0C3B74E2A9C37F310AEE4F582FA68DC54EEBA2C45EBA3F2CEFEA40C611D2E58C870717ED8EF57A0E567503123EDA5CA6ADAA82B6C,4/25/2016 17:18,4/25/2016 17:19,TOEFL Preparation,TOEFL Preparation,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x014536184357CD980C238304EA095553C04072AC031D9644E2C1B99E620B4EDEE5F82C9EC96A8DEB42457864A01A7E1D49623207C35B66884702638669B0DF9F31,4/25/2016 16:56,4/25/2016 16:56,American Pronunciation,IELTS Preparation,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x01E7E58EB9C48F58CFE7AC4F4E632E3D129B40758190AC6F0B5E73ADC4A864F12402D42E29093D1A87E3B523EE2BB79BA477100C069ED37ECA56E0A72DE279150D,4/25/2016 16:03,4/25/2016 16:04,American Pronunciation,American Pronunciation,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x0176CA2EE9979B7737F93594381F9617FDA9BABF98DD414D849765793A40E5865D67EFE639A37AF76771A1F3E3D7C59C158495B26D7CD376B2CE4823E230C24783,4/25/2016 12:28,4/25/2016 12:29,IELTS Preparation,American Idioms and Slang,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x0163C4B0D74CEAE2F2AA566E963B951DF4F2094202C5DC8970159C5B5C9A268BE566D9A919D8CD08E0C60E165FF9A192E6B8D50BB74BABF012C048EE749F507AE0,4/25/2016 9:11,4/25/2016 9:11,NULL,NULL,AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
0x011CC05DDC6D5BBA62EA10A5A3F0339D4F28AC09F759580CB5BC459DC0DA78667753EDD0980686D24B4DF489F9257AD85FE81F7C215F1D753F5590B374CF0217EA,4/25/2016 9:02,4/25/2016 9:03,American Idioms and Slang,Word Play (Academic Vocabulary Development),AIEP_Spring_2016_2nd_Half_Elective_Preferences_Intermediate
