ID_encrypt,Start_Date,End_Date,My_current_Monday__Wednesdayelective_is_1,My_general_evaluation_of_this_teacher_is_1,My_general_evaluation_of_this_course_is_1,This_teacher_is_organized_and_prepared_1,This_teacher_gives_interesting_activities_1,This_teacher_explains_things_clearly_1,This_teacher_answers_questions_well_1,This_teacher_gives_students_chances_to_participate_in_class_1_,How_satisfied_were_you_with_the_textbooks_used_in_this_course__choose_N_A_if_your_class_did_not_have_a_textbook__1_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_1_,What_do_you_like_about_this_teacher_class__1,What_changes_would_make_this_class_better__1,My_current_Tuesday_Thursday_elective_is_2_,My_general_evaluation_of_this_teacher_is_2_,My_general_evaluation_of_this_course_is_2_,This_teacher_is_organized_and_prepared_2_,This_teacher_gives_interesting_activities_2_,This_teacher_explains_things_clearly_2_,This_teacher_answers_questions_well_2_,This_teacher_gives_students_chances_to_participate_in_class_2_,How_satisfied_were_you_with_the_textbooks_used_in_this_course__choose_N_A_if_your_class_did_not_have_a_textbook__2_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_2_,What_do_you_like_about_this_teacher_class_2_,What_changes_would_make_this_class_better_2_,Quarter
0x010F4C26BA775D938D1A3ED19F68FB0D2FC9F9BC92205596D98B4BBD409914621904A2233C4B1CDE5CF91C2A69FF066BAFF6C71EDC833A0ED52A076B9D21911E64,2018-08-01 12:30:38.0000000,2018-08-01 12:31:27.0000000,Scott Gist (Movies),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Shelly Reece (American Pronunciation),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x0120658408A875EEA7166A685AC9CC23218827A64983084959902220F58C2615CEE5ED1B270870C58DACB06C7663B0B8F4BC86FC5D7E905E7BA599497624302DCE,2018-07-30 23:34:26.0000000,2018-07-30 23:35:24.0000000,I do NOT have a Monday/ Wednesday elective,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I do NOT have a Tuesday/Thursday elective,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01DA0174479F0194569E1CACDF8FF3AF098933B297057779B6869E711B33004EC653157E3E3B4E5C889709792F24F18D9469E258BAC3B000399BCA9CFB457C3320,2018-07-30 21:37:47.0000000,2018-07-30 21:47:05.0000000,Karen Muldoon-Hules (GRE),A - Very good,B - Somewhat good,I somewhat agree,I somewhat agree,I somewhat agree,I strongly agree,I somewhat disagree,Somewhat satisfied,Very satisfied,NULL,NULL,Fawzia Mohamed (105 TFL),A - Very good,E - Very bad,I somewhat disagree,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,Very satisfied,Somewhat satisfied,"Just I like her personality only. ",I did not think that the class is not useful even though the program which not explain the answer as well. I only learn that there is no hope to get a great mark. I need time to be mastery of vocabulary us on the strategies. Students' goal is how he import their score as soon as possible.,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01A70DED42D5AF54884F2161E6CDFDA2E38ADFBB22FE676BA57682F17A89FCCB7541FB58216752777FB3F736EF5EAA615243512BFE309E4DFC0F435C56F3595ACC,2018-07-30 21:28:33.0000000,2018-07-30 21:29:56.0000000,Fawzia Mohamed (Public Speaking),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,I do NOT have a Tuesday/Thursday elective,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x018A4B8D403F3CB43D092F50318A072ACBCCFC060A96E0FD974D71BEABADC3D742164DBB35F02ACEB585FA5638D82322A62CF995C816652535E5CFCAB28033812A,2018-07-30 15:15:50.0000000,2018-07-30 15:19:26.0000000,Darren Butts (Active Listening and Speaking),B - Somewhat good,C - Good,I strongly agree,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,Somewhat satisfied,Somewhat dissatisfied,NULL,NULL,Shelly Reece (American Pronunciation),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x011A6E9D384B85BF41E28DD6F85AFF2FB447D15D5AB81CDFA384BFAF7EA5B502C2AD1E4CBF39576538EBC6EE2C914EEC993B7DD39C85089E5A686C4D028B87A770,2018-07-30 12:52:23.0000000,2018-07-30 12:54:13.0000000,Scott Gist (Movies),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Darren Butts (IELTS),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x010A6CD6AE248908958150CC7C61AE4656E3DD176C509BF17CA76FA96793DA4B164A2D45FD377C5BAFBCD1D084572522068B5BC0F62584DB90F661E73CF7460784,2018-07-27 20:21:14.0000000,2018-07-27 20:21:34.0000000,Karen Muldoon-Hules (GRE),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x015093AF3B7905A14AD35FBF9FA766164D9228EDABCE0C75E8C5551746C5D5B601881395B8FF9090E1CBC6F2B946FB7D91A0413BA433B11941B02B306305BEBB5B,2018-07-27 16:00:25.0000000,2018-07-27 16:09:48.0000000,Fawzia Mohamed (Public Speaking),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,"Very good teaching methods, approach, very inspired teacher",Everything is ok,Darren Butts (IELTS),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,Good teacher,Everything is good,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x019F8BA3A59F51B8358A54620349F1A40BF57B385CEE9FB5447CA3327525BC87EB259B3260D2DB2035147826A5A9BFF2F0A0191C0AF3581D614CB16EB166B9311A,2018-07-26 21:47:51.0000000,2018-07-26 22:10:20.0000000,Scott Gist (Movies),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,"Even if one student does not understand something, the teacher catches that soon,  explain more, and make sure the student if he/she can understand about what he/she did not understand.",I am satisfied with this class.,Fawzia Mohamed (105 TFL),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,"I am very satisfied with this teacher and class. I could learn a lot about TOEFL. So many high quality and useful information. ",I am very satisfied with this teacher and class.,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x0132037C3A5CE5E35BCF4E00369B2BA9974996A64E113D794CE527FC1202E5F66C3686074548BFEE24BC621229D3111CFC66B54F6A1B484A0A54A4772A64321EC3,2018-07-26 19:25:26.0000000,2018-07-26 19:32:21.0000000,Karen Muldoon-Hules (GRE),A - Very good,C - Good,I strongly agree,I somewhat agree,I strongly agree,I somewhat agree,I somewhat agree,Somewhat satisfied,Somewhat satisfied,"She is open-minded, I like it.",NULL,Fawzia Mohamed (105 TFL),A - Very good,A - Very good,I strongly agree,I somewhat agree,I somewhat agree,I strongly agree,I strongly agree,Very satisfied,Somewhat satisfied,I think that she is ingenious and open-minded.,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01D8A6E3EE5B99A79664198D8D8704F63D6C147886A9D3870036050B9CA1FF8C0C4CFD3E7F8DDF9C872BF06C5A0E560CD24D0B819E245B888B27064CB698B069DF,2018-07-26 18:58:24.0000000,2018-07-26 18:58:56.0000000,Scott Gist (Movies),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,I do NOT have a Tuesday/Thursday elective,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01BB8ACEDDF03B62EFCF16176F8A54FE5975CD9699C55A19ACBB580ABCEA6CF862E2ABB6E2D891E008F68A3E907870788FEE3FA22517C40A0A0B9E3CE876DCFD47,2018-07-26 18:54:45.0000000,2018-07-26 19:15:13.0000000,Fawzia Mohamed (Public Speaking),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,"Fawzia is always energetic!! Also, the class is so exciting and interesting;))","I think the number of students is a little bit too many. If it can be divided into two classes, I think it will be better for everyone to have enough time and chance to practice.",Fawzia Mohamed (105 TFL),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,It's really useful:)),NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x0102544E2A0796769FEB107AC9FD3B301167A3B4AA77350261824BCFE5D75005EE171D424196A330E3EAA920EF4E696601655AF7D0170890796C849C1A6373C84C,2018-07-26 18:04:54.0000000,2018-07-26 18:14:48.0000000,Fawzia Mohamed (Public Speaking),A - Very good,C - Good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very dissatisfied,Somewhat satisfied,"Fazia is just perfect for this kind of courses ","It would be highly appreciated if you guys can make the skills of speaking intertwined with English language content, for example, teaching how to start speech in English and how to close it ",Darren Butts (IELTS),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,he is the best,make all the handouts in one small work book,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01BC0331D79FAE8246ED6E70D3DB1C823555BAF2490B8381ED19600DD31A3FD230203EE03B2473FF7B13E7C7D12F64E2938D53D6C3D5E8EC5D522CD54F9610DD45,2018-07-26 17:49:39.0000000,2018-07-26 17:51:05.0000000,Darren Butts (Active Listening and Speaking),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very dissatisfied,NULL,NULL,Shelly Reece (American Pronunciation),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x011109A8DABD8F347C4BA32E8A4A002BFEAD97BD24CDCE6B48C9FCB32B952E4598D9BBAA8C1CBA3A4877BC2B9A4A599FEC36771A0688974B456EFF9281FBE98FA3,2018-07-26 17:21:42.0000000,2018-07-26 17:22:32.0000000,Darren Butts (Active Listening and Speaking),C - Good,B - Somewhat good,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,Shelly Reece (American Pronunciation),B - Somewhat good,B - Somewhat good,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x0137F4DC3B624401F430AA2462E3C6E9B4403D4386EEB77596D269CE84E9872CB1CD673FAEA88C7DFA229AD911D15C49B647A1B3809105CE0E43B6ACFC5A963384,2018-07-26 17:18:52.0000000,2018-07-26 17:21:13.0000000,Karen Muldoon-Hules (GRE),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Fawzia Mohamed (105 TFL),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01BE507ACA08C304C19366E7A1683A183E4424B5474F428237EB02C4FA9DF9BC3FFD842738A54C0979DE46613650F4F12F4ED47659C6C7A766560EA4EAE7699FD0,2018-07-26 17:06:34.0000000,2018-07-26 17:08:59.0000000,Gene Kavenoki (Business English),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,Gene Kavenoki(Current Events),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Somewhat satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x019ABBDD83E627D71FB4B74AD983534467DB35432331F2A0BCB441D70D4D9438B3A2437F37FFEB303C5A848C2215FBC0BFEAFD8D30F6F7BCDF651C0BC3291AC39D,2018-07-26 16:54:49.0000000,2018-07-26 17:16:31.0000000,Fawzia Mohamed (Public Speaking),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,"Teacher gives us many chances to make a public speech, I feel get more confident on personal presentation but still to overcome my anxiety on speaking ","I think it is nothing to make change ",Fawzia Mohamed (105 TFL),A - Very good,B - Somewhat good,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,"This toefl course has many contents to teach us , such as reading listening speaking writhing, but our class just finished the first part, reading part. I hope I get learn overall skills before the last day of this class. Teacher is very nice! I like the atmosphere in the class","I recommend we can practice more questions from sample test, learn the skills how to answer question step by step . I think it will be efficient. ^^ ",AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01E1CA067D6B53F8FDAB9829A3317812FC20C7983564A6B828CCEA6DE3788F9395D6370F0E4410C6C39C1A334CEC757A6992452C45C8AA76599BB89B5B1F9FA005,2018-07-26 16:49:56.0000000,2018-07-26 16:53:17.0000000,Gene Kavenoki (Business English),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,Shelly Reece (American Pronunciation),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x0114927B14BE94E3F17868322417D04B81F48E14E86D449B5C7652978A94A2B694EA9EE2C8D847EB7B4953C4503F56481109652F1878F32F915E6D4209D1D48781,2018-07-26 16:15:05.0000000,2018-07-26 16:16:25.0000000,I do NOT have a Monday/ Wednesday elective,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Gene Kavenoki(Current Events),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x01E2EBCF7F85D57D5E0213340E12858FFB84C93ED014D5A4F99F814ECC34C51EB2E4E85F6F214A3B54D9BD068E0951F56B761ACD5E18A8242D3941655E03ACAB87,2018-07-26 15:54:48.0000000,2018-07-26 16:01:58.0000000,Gene Kavenoki (Business English),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,A lot of very interesting topics,It does not need changes,Fawzia Mohamed (105 TFL),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,Fawzia is a wonderful teacher,It needs to add another two hour lesson per week,AIEP_Summer_2018_Evaluations_12_week_1st_Half
0x012B78FC3B11BE171C6DB037E61B19C33C04D4BAC38203E8F0D9F029A60646A3EB45219DEFF3ACFF5CF16954D670BAA902515ED1FE3CFA6C7AE1DA17BDBED4F237,2018-07-26 15:50:49.0000000,2018-07-26 15:51:56.0000000,I do NOT have a Monday/ Wednesday elective,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Joan Stein (Academic Vocabulary),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,AIEP_Summer_2018_Evaluations_12_week_1st_Half
