ID_encrypt,Level,_What_did_you_do_before_studying_at_ALC__,_What_will_you_do_after_the_ALC_program_ends__,_Who_pays_for_you_to_study_at_ALC__,_How_did_you_hear_about_ALC__,_Which_digital_devices_do_you_have_with_you_in_LA__,_How_do_you_stay_in_contact_with_your_friends__,_Which_English_test_have_you_taken_within_the_last_6_months__,_What_was_your_score__,_Which_English_test_do_you_plan_to_take_in_the_next_6_months__,_What_major_or_field_do_you_plan_to_study_after_you_complete_your_ALC_program__,Quarter
0x0101C159BE4B16111E1C9088132D9F6F630424CA7F40B6C71DF5FF2502E64AD0EB7F2E69235C940CF0C039814A1703395176904CCE2DF86725F510D136588C6748,NULL,student,4-year college,government,friend/family,mobile device,SMS,none,NULL,IELTS,Engineering,AIEP_FA16
0x01704D94958DBD2075174ED8CF38669BBBD29EBE14AEFD95211C5DD979E08A62A59D6DFDB10FFC5DE1A3701A72353B9083250ABC80BE60A59E413ABB92E4BA50B0,NULL,student,4-year college,government,Internet,"computer,mobile device","email,SMS,social websites",IELTS,5.5,IELTS,Medicine/Biology,AIEP_FA16
0x017BEEC9CA4425B2234268DB6E7F0B79CC4EB179C066AA4800CC3BBEB4F4B969E1823B7A7091E9342E0999995B4D28E9DC90987B108DEA612139E86857C8DB3A48,NULL,student,4-year college,government,friend/family,"computer,mobile device",SMS,IELTS,6.5,IELTS,Engineering,AIEP_FA16
0x014296CDCCDEC4F97819712589DAAF8C4AAB3CD22A776018AAC11AF5BEFB85B5C03257B387578859040EB2AD87D679EC4F4B1B242470E4D57C75462766B31ADBBF,NULL,student,4-year college,government,friend/family,"computer,mobile device",social websites,IELTS,6,IELTS,Engineering,AIEP_FA16
0x01A412DA4079427A0788F88F3E6AC90E0EB226C31FA800A5AC46752693F6AA936C7CF72A766B7DE3E5616CF245CA529437FE4FD51330DA0BF3AC1DE8BA0D70E656,NULL,student,MA or PhD,government,friend/family,mobile device,social websites,none,NULL,IELTS,Engineering,AIEP_FA16
0x014EEE1D53EDE6DB0D88D32E3E2659F9B3745EECFB03F3C22D3D93685F200C76EA0E183020B80F1D8C74C1AC758FE5FEB31FACB7474B112A2E9046C4DB6F95B26B,NULL,student,4-year college,self,Internet,none,SMS,none,NULL,IELTS,Engineering,AIEP_FA16
0x012A09F95101807404FF07E4364386A87576FE301ADEFDA48442010292D67902AD9DC61EA4ACB1CC1E66BD5403F94A0EA5E57FAB300E6FB2711F52ACC585805A87,NULL,student,4-year college,government,friend/family,mobile device,SMS,none,NULL,IELTS,Engineering,AIEP_FA16
0x0109AD5959D699B3C839D7873E0BFAF30DF61E3D2DBEEAA7968BEC8C137DDA8181C0A9FB62D7E823386527D827917C7E55E6249F04B3187EC026FBA9532BD1B217,NULL,working,MA or PhD,government,ALC student,none,SMS,IELTS,6.5,IELTS,Business/Finance,AIEP_FA16
0x01EC49875A9CB23A49CA04E9D2F0BC766621124CD945BCDAFFB48BE3F14A46C03A81B0397C9E7898F76F81EC96B5196B380F2379E4DBF2ED797CC1433607AE8DF9,NULL,student,4-year college,government,Internet,NULL,SMS,IELTS,5.5,"iBT-TOEFL,IELTS","Business/Finance,Law",AIEP_FA16
0x0178A8A04FFD2C16397FD9C1E8336B23CBAD0CBBDFAE6BAA53D33188A2005F2398567B14D6D7B4ED33AF836A711B692DEAB5CAB941CC4E8EF5F912301F1263BE74,NULL,student,4-year college,government,advisor,computer,SMS,IELTS,5.5,IELTS,Engineering,AIEP_FA16
0x011E2A504880E714B4374A1A8DB15048A86ED59BEA07D21163E64D3DEDB5154D0D3CB0BEFB92C32A3E7F0E28CCAFBF1CED2D70DA0DF0E518E2DBA7C497481A7B0B,NULL,student,4-year college,government,ALC student,mobile device,SMS,none,NULL,IELTS,Other: Literature,AIEP_FA16
0x014D32288F9C98DDDF56DF329CBECDE22EC16006DEA1819FC9AFB6315E944788DDC9A441AF49BDD4AD54099FC02C490E1FEEBD5C1DF841BAEF912817B8FAC246B5,NULL,student,4-year college,self,friend/family,mobile device,SMS,none,NULL,IELTS,Business/Finance,AIEP_FA16
0x01F039B6D5EC37FB7E9D634C2A94E2E9A67FDB07D6FE2F11472AF1E60D6711ADCCC4546B30630BC252D1AAEB9370D0E2EE13D6FF20EA58565607DB1C6EFB2B8C7B,NULL,other,return to home country,company,ALC student,mobile device,social websites,none,NULL,IELTS,Education,AIEP_FA16
0x01BCDDCC9302B8E6621C7A60872F3CDD24475D28F16FCE10AA99DFA50E3BD45BE8D53109E2B3F62F9F55B7E8C036506B27591C426E28998A9166B8364601E3FCF7,NULL,student,4-year college,government,friend/family,mobile device,SMS,IELTS,7,none,Engineering,AIEP_FA16
0x01AA26A2A9EB3880DCC49D9303439A96230D71652D525DCBDABBFB515A18A3FCD899D1CDAB2F3F05B7AA681013D8F32852AF1B28C1EB0A74650B752F4E4E8A40C1,NULL,other,UNEX certificate,family,friend/family,"computer,mobile device",SMS,none,NULL,IELTS,Education,AIEP_FA16
0x019097A1A39AC7323FBACA0CD994F31BB4A12EC3123A5605839677890CEEA10627C82D98C7FCF3CEE2B8F5F5279ECE1E11CE437BD04723D38601B396D4FE06ED1C,NULL,student,4-year college,government,Internet,"computer,mobile device","SMS,social websites",IELTS,5,IELTS,Other,AIEP_FA16
0x0175491B8E3BC7937ED8D26ED0E1F9CAE4F7D662E5E2B17D9F48CE44FAE3C2FAB29003224F2F1C56014FCCAD66086F2C45DB5CFF10D2A66CDEB234DFE820780DD5,NULL,student,MA or PhD,self,Internet,"computer,mobile device",email,none,NULL,iBT-TOEFL,Law,AIEP_FA16
0x01BDD09EC52E22AD1695A84D97F22167512A53E36F6D91625EDF341A2FE5590FB418F041AE70222DE7615DF90A9BC62FE6CD376F26AED5E8C774D7EAAB75E0FFDF,NULL,student,MA or PhD,family,"ALC student,friend/family",mobile device,"SMS,social websites",none,NULL,IELTS,Business/Finance,AIEP_FA16
0x0146DF1C0B2BC4E17A9E186F0AADABBBF4C6EF4B4A05A2A807CF475AE6DB493D24E3FAC8DB394B228832AE7849D0EFF2909B4DA0BFDF337B3491CC8E6D48D52DB5,NULL,student,UNEX certificate,"self,family",Internet,"computer,mobile device","email,SMS,social websites",IELTS,5.5,IELTS,Business/Finance,AIEP_FA16
0x016A4E9B69012F5D4B263694C6030EA7833A9BFC2FEF43E45168FC8FFB689E3FEBEECF2425D9E8F7BDB50945E9AE6D4A46524F4E6182BCBDD9EFF63EFC7262BFE7,NULL,student,MA or PhD,family,Internet,computer,social websites,none,NULL,iBT-TOEFL,Business/Finance,AIEP_FA16
0x01EA7FFC9CD1BE38E523E38FCB6F7AFC353B50095B215EC91BE0EF28EE890B6DF5EEC9BC1825B0889DD34052B7E2497E5BADBE8E8B919B9589587978752392B3B2,NULL,other,UNEX certificate,self,agent,"computer,mobile device","email,SMS,Skype",TOEFL,74,iBT-TOEFL,"Other: Marketing, Social Media, Public Relations",AIEP_FA16
0x01B16A71EC6B36FE3D1C0E5501EFF1E85474B17288678F5D3846E8A53865E55563884F0FA33CB753E1016D8AAF8419CE87ECB2260CC61E8BBDA3591BCAAE8287B6,NULL,student,MA or PhD,government,Internet,"computer,mobile device","Skype,social websites",none,NULL,"iBT-TOEFL,IELTS",Medicine/Biology,AIEP_FA16
0x015D399BDBB6A0B8223F12234D4CCC44977244C9F5B619F505403457317FF5C0398EB796683C523B8129E3975E83B2949D629ABF2A0567FBC2A65B0EEFBF6CA445,NULL,student,return to home country,family,friend/family,mobile device,SMS,none,NULL,IELTS,Business/Finance,AIEP_FA16
0x01CEF0ED061BFA6ED5078CA6D395E00A322593E8FF90A72ECBC021B24473F7DD024E1D7C688514AAD7B8D312398403DE3C2720F9D86C1E893A3F004CA61FF25DA9,NULL,working,return to home country,family,Internet,"computer,mobile device","email,SMS,social websites",none,NULL,none,NULL,AIEP_FA16
0x01875D30C8BA4A8079F46546F194BFF1E823941A39FEF508DB023FD545E5C82F9059C14DCBD5152330854753451CF3F2E73B23AA80AD9E43DF2DDE831C70E79DD2,NULL,student,return to home country,family,Internet,mobile device,SMS,none,NULL,none,Engineering,AIEP_FA16
0x0160B9D222E6BA0F510945C9B7FD4C8C9FC76E3034343F2FB499CE489AE1C115E4556D40B4AD45ADCB82C0A161F826ED33501587082AC2ED628D688C5558D3EF96,NULL,student,MA or PhD,family,agent,"computer,mobile device","email,SMS",none,NULL,iBT-TOEFL,Other: Psychology,AIEP_FA16
0x0105B311AE8AADCD27171EF2D542DEB5698B86182C842FC2E8B7329D23E14FC2DBA0901B58C497B3AA102356C98A02DB1A9CE6CACCC2271FAFD20BCA51181C4B63,NULL,student,MA or PhD,family,agent,computer,SMS,none,NULL,iBT-TOEFL,Business/Finance,AIEP_FA16
0x016A355A5F4A4E88B668067CB68122A29DB339AD77A2DFB616DD884AA816ED887643AA252AD0AA4A29A572E40998D7CFA5BBF157093EC2007A1515FC0A7CED259E,NULL,student,return to home country,self,Internet,"computer,mobile device","SMS,Skype,social websites",none,NULL,iBT-TOEFL,Law,AIEP_FA16
0x01BF7E6BC9058984AEBFCA460952989294686C7307C438E3A2BB1EECD561553F6593FA518C2363C9BECACA6B4D14C340A2F04879DD847623F2FAD05E4A3DE4D343,NULL,working,MA or PhD,family,friend/family,"computer,mobile device","email,SMS,Skype",TOEFL,86,iBT-TOEFL,Other: Public Relations,AIEP_FA16
0x01787FBBF7860ECEC92FD8164082B4BACF9F3F533D508EB28C39F9796354BDCFB4CF2022BC0BF1DD1F92CBA1C039351DDEACFBBEFAD15A17B8B5A58B92950444DC,NULL,student,4-year college,government,ALC student,mobile device,social websites,IELTS,4.5,IELTS,Medicine/Biology,AIEP_FA16
0x01A9DDAE0772754BA157D982143B06D45F43FD9A66ED4AC1CA2B5079248F5FDB6DA49B6B91FBFB1209353AC6E561964389CE758144DF5104B37C0F6F598DFF9C33,NULL,working,UNEX certificate,family,friend/family,"computer,mobile device",SMS,TOEFL,68,iBT-TOEFL,Business/Finance,AIEP_FA16
0x01F18D7BA000C3F3A17662E9A685BE9EEC3743D0B4D113E6253C09F43CF2691FE8AEAE471178136E283BFCF879F046754D50CB463B7CA51F86C0432334268AFE08,NULL,student,UNEX certificate,family,advisor,"computer,mobile device","SMS,social websites",none,NULL,IELTS,Education,AIEP_FA16
0x01DE4A87B267E6F9C58164C9D3BAD360C27B33794F01244B5B660A0CB268E84A98CC8A5F2CBA3A78CA93C209B86D79624EE403A63211A1FA46B9EFECB59944EB2D,NULL,student,UNEX certificate,family,Internet,"computer,mobile device","SMS,Skype,social websites",none,NULL,iBT-TOEFL,Other: Marketing,AIEP_FA16
0x01CFFB51F29C7A7266240881D7208A1433A3C55EB13ADAEE39ECD964E81144CE170BB22087036DE5D8C182D3004CE390666B9C6F8A3970A0DB1C5652550E18FB2E,NULL,student,4-year college,government,friend/family,"computer,mobile device","SMS,social websites",none,NULL,IELTS,Business/Finance,AIEP_FA16
0x0141CC6F459631544DCCF6DDE7A2A405C3501250E1F1B721255BC1CC08B201A77C43DAB00EBC50D4252950C06355FB1DF219E280893369AA7C5FFC05E3306F5B95,NULL,student,4-year college,family,Internet,mobile device,"email,SMS,Skype,social websites",none,NULL,"iBT-TOEFL,IELTS",Other: Psychology,AIEP_FA16
0x01EF3D35A5C5C7F295843F0ADCD209164514C0B96A2499DA81068EE8F88E11B560C624A0E07DDDD1DB30F353D08E9873A38C77C5FF2AFCB753C0133D22F7049324,NULL,working,MA or PhD,self,Internet,"computer,mobile device","email,SMS",none,NULL,iBT-TOEFL,Business/Finance,AIEP_FA16
0x0151ABE740074A17DC4480FCD30CF9CB0DE571F8460B5AA666D4DAA3784590F8F67C1421FAA55AF882A2457A31E220FB9DCD7B55A2661656633FE425F7AED07FAE,NULL,working,MA or PhD,family,Internet,mobile device,SMS,none,NULL,IELTS,Business/Finance,AIEP_FA16
0x01B1262D7975342D236A09E9A44E34121B5CB891298E941B87D01A4E7A87495DEB319576082794B1E7844573DB02D2E8A9CB17FB05AB5BD238DF40A10C248E6083,NULL,student,UNEX certificate,family,Internet,"computer,mobile device","SMS,social websites",TOEFL,66,iBT-TOEFL,Other: Entertainment/Film/Media,AIEP_FA16
0x01A5C97144BC8E7C5AE040F6799664D6BE02249A064CEB933CD2B2F6D765CDA8E1DA51D92B1EA453BC204211064764F5DC9E142AB93B4961E91E2A1F16829AA3D1,NULL,student,4-year college,family,friend/family,mobile device,social websites,none,NULL,none,Business/Finance,AIEP_FA16
0x01F0D25592DB1181EC2719E944FA79B9763BE63BA7BABFEA76F8A71AC9FC3BC80A8F014BAD00429121F78E83021E7F795BD13320A3B558977B46872C69C274BDE3,NULL,student,MA or PhD,family,Internet,"computer,mobile device","SMS,Skype",none,NULL,IELTS,Art/Architecture/Design,AIEP_FA16
0x019BC58D954ADFCD12EB2E0FAFA95A663437570DE404DB09EE99B87273E1ED31C82C1703DC03BCF52C8A421FA897DA13F5558B72B83D3CB4A617F18C03C627175B,NULL,student,UNEX certificate,family,Internet,computer,"email,SMS",none,NULL,iBT-TOEFL,Business/Finance,AIEP_FA16
0x01A1EE0DB2C9BFE6A72083DADF03E8FE72488446C7B521BF94490EE07AC9531284E338B35103CC3C65C41468383F5FBCD91EBF46AE3A096E0C9B429C747805B9D4,NULL,student,MA or PhD,family,advisor,computer,"SMS,social websites",IELTS,5.5,IELTS,"Business/Finance,Art/Architecture/Design",AIEP_FA16
0x01D3F1EAA81EC55AE285DB917AA4005BDC5B788B7BE6FD307CBD8D52FA853F68049769773F1D2403967EEAA2A3CA0747BE432D7FC937BA68C4BD55DC16BB4E129B,NULL,student,2-year college,family,agent,mobile device,SMS,TOEFL,57,none,Business/Finance,AIEP_FA16
0x010E33F257C03B7BFFBAEDA5FFA94B2465573A818B8EF64C96AE2243F2775B24077688E7B0A9A39DE93E69449302930C601F1C37B470DCB416E9B021B80AB841DC,NULL,other,4-year college,self,Internet,computer,SMS,none,NULL,none,Business/Finance,AIEP_FA16
0x016E7AD8E3A37A393FF2E0936FE40FCA491EB53D6521717721E88888B0D8C74FEFFE515EBEA190E1597FB0F2D4F7B6569E0AFC01007D6CEBA8BC591BD90CE3C30E,NULL,student,UNEX certificate,family,friend/family,"computer,mobile device","email,SMS,Skype,social websites",TOEIC,400,iBT-TOEFL,Business/Finance,AIEP_FA16
0x01FEA0140BAB481E21B0D0215E63BEC94787F6A6F478C47B64D73CCDECEF8E7B0CC52B7489429A21C2651EE5ECB5614691491852F702B01BA58884419BDD15D2C5,NULL,student,UNEX certificate,self,agent,"computer,mobile device",SMS,TOEFL,75,iBT-TOEFL,Business/Finance,AIEP_FA16
0x0185DF70B7F2B8AECCA1F5460E44F59E80576393E270D186FD5FCBCAC0945DF17A506D93263C37B45D1C4887C376F3E67F1EDD9C4D3A1A7050C3F3E638D73BCCC2,NULL,student,4-year college,family,friend/family,"computer,mobile device",SMS,none,NULL,IELTS,"Business/Finance,Art/Architecture/Design",AIEP_FA16
0x013D744430A0F453B006EB0F14599C5D4D9FA35B4DBA69E9D80A31A7119E56322430CEB30D5504143EDF8CEAA836576EFEF16648C231B6D4EAF19F52F057FFC618,NULL,working,MA or PhD,self,advisor,"computer,mobile device","email,SMS",none,NULL,iBT-TOEFL,Other: Psychology,AIEP_FA16
0x01D22E1CDBAD1BEEAD829BF34AFEAA9A8A5410F1092D570E10AC57C4953E55831333CD16D76297B2BC32AB5AFB5EBE29C79A59E03099257A11DFAD319B7801EA2C,NULL,student,4-year college,family,Internet,computer,SMS,TOEFL,55,iBT-TOEFL,Education,AIEP_FA16
0x017F4765A3A0423AE9CAAF29D086BDDBBE9784A933B449ED09D5A159295DE30F8A6D3B3C2BD5C301FBC4E9D1B0C90E6304E5561AD678389802006332DA2D21C994,NULL,other,return to home country,family,ALC student,"computer,mobile device",SMS,TOEIC,835,iBT-TOEFL,Business/Finance,AIEP_FA16
0x01C21AAF78FAB5AFC18DFDD787C039226446F716CEBE39F8D85CF849592F9471F41E65B0F0CFAC3539A17EFAA83799E0F80B3359A6DCDE29800EC2B65A7EAA126E,NULL,student,UNEX certificate,family,friend/family,computer,SMS,none,NULL,iBT-TOEFL,Education,AIEP_FA16
0x016AAB34C41F21633479840EC2DA354DC827F52D552555047F47C4640D9AD0FDD84ED88077A74E1920A925EC3CE2C3F7180DAA5C085FBC4C1DE0ECF08E88B2CBAA,NULL,working,UNEX certificate,self,ALC student,mobile device,SMS,none,NULL,none,Other: Communications,AIEP_FA16
0x013DFDC6A60ECBA3269841549D07D991B375B6B30BEDEA10B5E73BE1C4C2D951C0E15677263B8F1569A1FBA9BDFB9287D4467988B7742E0358A86E154F0FC2F1AF,NULL,student,return to home country,family,advisor,computer,SMS,none,NULL,IELTS,Business/Finance,AIEP_FA16
0x01AE1226BABED2258D53885AD8211564923517767CF23A5E7F74062566A3B5703A2C627FCE784B1D491E519A1FD8D8542BDDED382DD5D8747D4E194F1364AE585A,NULL,working,MA or PhD,government,advisor,computer,"email,social websites",none,NULL,IELTS,Law,AIEP_FA16
0x016C4C27B280919E996C7A5BDEA3965941FA1501737C5B61DA363CCC688D8A4C39975D866A0A7016D3F64A3037D29FB07E8058703BBB6C7723908816427D7F9B23,NULL,working,return to home country,family,Internet,"computer,mobile device",SMS,none,NULL,"iBT-TOEFL,TOEIC",Medicine/Biology,AIEP_FA16
0x01DDFF88F41DCD9450CBB6DD6E8B7B102D3B40393B224C7A12E03D8B0C3A7065462D98F0FFE1A2242049296EF5AEFA7DF431B50C44CCA294BFD7BD80AEFAC47AD7,NULL,working,UNEX certificate,self,Internet,mobile device,SMS,none,NULL,IELTS,Business/Finance,AIEP_FA16
0x01FEA38494BBF29AB746601E06F82E5F066D4CF748510370DE91DD3FB0E738A1FEEEDD744EF0C84F9BF3BD90AD1B8C4C174B46667B81F68BD4DC128B7978D40DFD,NULL,working,UNEX certificate,self,ALC student,"computer,mobile device","SMS,social websites",IELTS,5.5,IELTS,Business/Finance,AIEP_FA16
0x01ED9F2320509FFD0C559D6D3605CFEDCD5ECC47A97D6491CC1F8436A505959114436BA23A490403B9180D509CEB5871843C6CA94E38E5308C79D4AC5E4CED9FC0,NULL,student,UNEX certificate,family,friend/family,mobile device,social websites,none,NULL,IELTS,Business/Finance,AIEP_FA16
0x01BAAF34F6A054B3B15C5FB2C8CFDBD33B33DA36BD6F1ECB2F6E166A3B342D566BFA856CFF4A7B8ED706654A91C65B581BB19796DDB145F7C03C0C37BF275AF565,NULL,student,MA or PhD,government,friend/family,mobile device,SMS,none,NULL,IELTS,Other: International Relations,AIEP_FA16
0x018AD18B601231FE8C474C4937925DB6E3CE96004D17BD2B0A04CB883CED4FE0AA29FA4C93924FA2848C2FA1E20BC997E37406EAED374FCB500F9A69F1C6C7C492,NULL,student,return to home country,family,Internet,mobile device,SMS,none,NULL,iBT-TOEFL,Other: Sociology,AIEP_FA16
0x0151A861AEDE8AB4C0AB250A347983245CDA4A11EE1AEE6C8A7C3BB6DBC7C722331603D4DD8D45DB14F54EBD48C99F0A06D517E342A70BC98035CDB4C0854870C4,NULL,student,return to home country,family,agent,"computer,mobile device","email,SMS,Skype,social websites",TOEIC,770,"iBT-TOEFL,TOEIC",Business/Finance,AIEP_FA16
0x0168E39F4BEC67E7ED291AD40A327864EA8C264DA7EC1A6950D35EFB4BC754EC348C0D4AED1818741802E2DF9682238FC56CAF0E8A8DDBAE0E6A0CCE3B43E374FC,NULL,student,return to home country,family,Internet,mobile device,SMS,none,NULL,"iBT-TOEFL,TOEIC",Art/Architecture/Design,AIEP_FA16
0x0179E7649A3B3C1F2918E34A68F39E64FD7A8A7BC0CD1F5205C6814B4E6BB0E2EDA885E1D115816DE533773ABF8090B5A1C052A5B7028BE39B5B094E5C0AD1E75D,NULL,working,return to home country,family,Internet,"computer,mobile device","SMS,Skype,social websites",none,NULL,iBT-TOEFL,Medicine/Biology,AIEP_FA16
0x01B228910DCF731574BB061C53CA543C954508DAB4002CA9396E008D8805687EFF3A7ECDEF6AEAE99482797F134C262EDFC8A0A71A95FDA81D655C20F7618E756A,NULL,student,return to home country,family,advisor,mobile device,SMS,TOEIC,650,IELTS,Art/Architecture/Design,AIEP_FA16
0x01FB795831BCB14280298B94BCF9E9C732EB475AB39FB35E03441F20237CC62528DEC0082D7F584BD5CC12D4DBAEC8163628079D729BFCE13E972E92E5EAA15BE6,NULL,working,return to home country,self,Internet,"computer,mobile device","SMS,social websites",none,NULL,none,Medicine/Biology,AIEP_FA16
0x010F1EAAA4693BAD4725657A40FA4A010846DC5998D5855A4910E7296514C76E79AA81BA3525DF70259B5A58CC6D618BCB9A73A5D03602A6DA4EA4ECDE003078E5,NULL,student,return to home country,self,ALC student,none,SMS,none,NULL,none,Law,AIEP_FA16
0x013EE58E9CAC52EB892CFCCA93C73E989F96A3E4DD475DE3A098FBE9505195954AAD0624DEFA9CECCAF07BD659D7FBE2E3902B18699982A892D7074859335922C1,NULL,student,return to home country,family,Internet,mobile device,SMS,none,NULL,iBT-TOEFL,Engineering,AIEP_FA16
0x01FDDC87A6A7E2F43D401E718067EDA402A6D76B71210F8FE953A540B2554EFC13269098F319FDDFBA3014FC3FCDEE8E7894BF8577E1267AADB12672D11D5FB1C8,NULL,student,4-year college,family,friend/family,"computer,mobile device",SMS,none,NULL,iBT-TOEFL,Art/Architecture/Design,AIEP_FA16
0x0100A9F38CF183CDB3639AC87506A6F6578F61600FE574D16A04650F05F83E61CD5FF9AE54D535C8C5E0E6BAF5100C11A723B833E3AC7E145FE3C8E153718F164C,NULL,working,UNEX certificate,family,agent,mobile device,Skype,iBT,76,iBT-TOEFL,Engineering,AIEP_FA16
0x01D48A77DFD31A6EA225BEF0C00F202CD7C6ABFAAD438856F3BA6F259DB3E62C98F91AC9D2CD16BC1C6C5DFFBD15D89D68A255AD5D12E2783AD28CD84A939120FF,NULL,student,UNEX certificate,family,friend/family,"computer,mobile device",social websites,none,NULL,iBT-TOEFL,Business/Finance,AIEP_FA16
0x01BAA95E98EABF5C1F9558E652F9DA8FB0E22695047A6C8A8C22F8A5C1BCD0D012E5CA08192A272EF66C4EF9AC47F8017B7AECE48C9F0208EBBD5FF99678255E46,NULL,student,4-year college,self,friend/family,"computer,mobile device",Skype,none,NULL,none,Business/Finance,AIEP_FA16
0x016744C745200520571CF0888FC60CE9501846E8F9E87D0A266EB1AD4E27088F7BEA65497C9795D439B84EC6C93669265BC279D7CFD4471EC3458321787BA468C5,NULL,working,MA or PhD,family,agent,mobile device,SMS,none,NULL,iBT-TOEFL,Business/Finance,AIEP_FA16
0x011CC639D60E5737B5DAA80E31B0177151E0B7262CC310E938572130B0BA0E9398B6BF9C54D952BB5DDB54532A2CB60D8EFB240E9E8523E75C2542B8B417C603C0,NULL,working,UNEX certificate,family,Internet,mobile device,SMS,TOEFL,74,iBT-TOEFL,Other: Marketing,AIEP_FA16
