ID_encrypt,EnglishUse,Listening,Composition,Total,TestCalcLevel,Quarter
0x011DF69E6136573567CDD0B74EA6D344F05DC5535B9F328DA99160205E8DC944572C9FB48036EB2AF7C22995BBD46A87136BB1B62161BDE468E3ED9A229DD5F326,106,89,51,246,108,2017Fall
0x014E4B09F47455D326351F0BEF34D15A49EF8985D953303E267097AF87953EF81DF953D196AFD37AEAF0AFEC921104CA23849BD4139D93E909A1EEAC8824019758,68,63,40,171,104,2017Fall
0x013D25B5A12293D6A3B4750549034FA842788AE04F108F1B05F093A1FDAB64600CAACA2B302D56A9EF0B38D4ACCC37C96F8C8481BD21838F50B99249D6AB377CDD,96,84,22,202,106,2017Fall
0x01F01992BBE753E3C77008D3E701A1EC36B3AD1ED074C024F6301C9671F740C06AECDAF60D345BCA87FFC5942BAB7BC422231317199C209424ACBB0C0BC16A694D,19,83,4,106,103,2017Fall
0x01F9EF450DC1749D2F8BEF08E160FF74F2B889F50A3B353F6E2F6EC146E803D8CC0730741CF92B0A1BBBED7A149EE19CED9E4D992E3057CDB8AF441241EE1B9939,94,78,30,202,106,2017Fall
0x01BA01451DAF0D8D9E021D034FE6F5D6E6DEF9A83C87E8F6F7129BD3823277698D390220B6D0E21E6AC7F432B3E0223CC796AF86E93F66FA8BDB807196CDA8F286,93,76,29,198,105,2017Fall
0x0166322CF47752AB6B5AB55C555BBFFAA18ED57B8A74399E2653E716842947FAD489441667428F461976544DE349748BBC1CABEBB36B2FE37CA198849AEA355330,NULL,NULL,NULL,0,NULL,2017Fall
0x01FDB09A99DBE94978CF56C56E0D8B817048EA57378102B172AA3666D9134CF3A9E7F1AC3520F96EF89A99A161CD1FCCA090F2BBDCB8FF7E9A391618168058C58C,NULL,NULL,NULL,0,NULL,2017Fall
0x01952FC1ED761CBF3D0C94A946D7A4DD5D34FFF87C41A7BB871DD6AF11357D92533BB4C31426E2F9E6A4BC651E5C18A278B3DE401BFE6156B0C9A6F0D058C9D00D,0.8,17,4,21.8,100,2017Fall
0x017CA4839926CA5FB462A7D27B8561685A7A43B9B786BCD92941A489FB4C22E0C2FE393F6BD82BFA02D44ABCBB39976AEEAF29EA65BFA58F51AAC77CE38BBB5886,NULL,NULL,NULL,0,NULL,2017Fall
0x01B6D48896F670A49038263D6742BFD75EA675116F59D92106668C5E2D371774F09AC48D7653A5D8D702AAC5DB372B7579C304D149D79E60B1701FE434936B370A,NULL,NULL,NULL,0,NULL,2017Fall
0x01E27E2635BC72F1F729A3135D2953C5B2B995D269BBCF0CCD0C6AF8C31520B8DD7B3F8F2B62E29C5E7F0D2ABFCB1AFC3C8F455E958CED6C4C2FA064D4F75941C7,90,67,23,180,104,2017Fall
0x0157866049DF2010CEB3B7FE8188A5E7AFA2582FF8D5E39B5AC038D57CAAA09A1BE57352A65217D381F61D9016D1185FF21CDF2426909DA912813EFABE5A79CD38,NULL,NULL,NULL,NULL,NULL,2017Fall
0x012E97EAAC81AB17333BE6AA6CE08B1FFB6BAC9574A3D61EC9E00A4BBD7470EBF78FB4C0BFD3BC30EBA04F53A6D053B30153AD469C0CBB2B8C06314B7B256B81DA,74,57,23,154,104,2017Fall
0x017BBE9122DD056D7760D0951015E92A465622FB1FEFF54772E4A5A46D6B4131F354CF5A4D5FFD955702CB9C5EC40987408F88BC76C0A80EA6B08C3306266CAA10,NULL,NULL,NULL,0,NULL,2017Fall
0x01353384F066049C62A8D448C57969F1EE52D71769B0FD2E1E3E79748BC47E2716BE03F20A1306DE318D3F8D4DC8D41D34770A39B2354896523FF1C0C7DF0DBD69,30,33,14,77,101,2017Fall
0x015FC3113D026B0E6ED488730F5972CE1467DBF46ABEBB8445D960CD0FAAD6031E9623685766C1826049CB2CF342C81DCA9958FB2E64BBB50C078915D42CF28518,43,48,15,106,103,2017Fall
0x01E13A8A7062FB0C2E27E3EF4FBAB42222DF7C5837416A27306756C06C00FC97DF3D51E47ECCDFA99B6BD4979B83DBB894098F0D87E14B473CC13B3D21ACBB8AA8,NULL,NULL,NULL,0,NULL,2017Fall
0x01F6570F901B1431811CB2F0D89214E169FC7F353F02D6DB694A8A56D2233215065F542378D8E302ECBF50603B040D7D67E58388576599AF0E9C299EB4A9DC9910,97,109,37,243,108,2017Fall
0x0136D51238C0795C656A4E91EEA40A02B2BDEABD8834C563D5C743D085FB0C67554A97E8EE00FF01D3EF24CF4FC1592BE5AE80B01A118067D3C15D45B91F2AAD80,108,93,32,233,108,2017Fall
0x01CBE26E4B2E5CCBC6280CC72BB08220F565328B192241FECF804AD3EA69A4F5183AAE06A2BB24E3E8955B48E9F0A653DEB235BE4CA44125F1887795CF3631A0E9,NULL,NULL,NULL,0,NULL,2017Fall
0x018DEDAE28AE9E6343D9069F66E28365DB5D692AB0BDA4AACF6F8B88F9C3CF4B289D84379B89DB697B6512DF4092B16FF035D717F2BD08EA0E4D9C372791BFB376,NULL,NULL,NULL,0,NULL,2017Fall
0x0128B39E3C8AE3D57F3067B7F4334133755B32DC703B8BD83D2A450D152BA39F8BE5FF52FF3D074B474F7F4B1DDCB1CE5EB8BDF38CBB61AE83FD4595F35C821CAE,105,86,37,228,107,2017Fall
0x01BDC08C21D9A5F0B0572C2E7B0A5ED07A6398FDC001E8D49E8D3BEB6D2899EB01F323D8AE52B1BB7536F0CFB2892EBC69D79EF8D74A97593C0CE69C3B4C60ED75,NULL,NULL,NULL,0,NULL,2017Fall
0x011273454BF867733D7F1947998BE245ECD39D54F31986448D31E9CDEB8D7D0130597A1742989AA1F4327CE74B235CDAEECF866D25701F308A76345E2E1A37FF1C,1,23,3,27,100,2017Fall
0x01AF6C04C9D669C06FEF9EC3A193C7E93FA91EF6FF62F7CA3CED7A10CB9F2893B105923F637DE10850252F43E0CD30CC8E032B709C6FA2DE2B1CC5247F64158C24,NULL,NULL,NULL,0,NULL,2017Fall
0x01A5DC217651A5FC8A2819902BF4BCCC3002540DEA0386A1A17842559E31C48B138525722A191BFF5F1DD5585A3E062A479C242BBD47A5F2037C68DB51C3A6679F,NULL,NULL,NULL,0,NULL,2017Fall
0x016AD7E56E8475F271FC6964688C1904FFE3F234EFC91FC424B5963513E77DB9CF5EDEFF25B2C78A874B1003BF892824BBC8143699F65B54A6C8817CCE54846823,NULL,NULL,NULL,0,NULL,2017Fall
0x01430391B8F064D4F5B0604100D19415E8E8B0C0F7184DE9CBDA4976512BC2F2BF58C5D9F5A8CDFC5F3BAAF80E14DDBCCB2F9239B1E7A094C89533325C0A01BA65,92,73,19,184,105,2017Fall
0x010A62183D2BC25F941518BA191ACC7CC7CE68A1AE7FA4C2CE7689B68B18243510AF880B3CAF31D525F3C1BAA922E341D4EBA6943A6AB704C3D69E524F419EA3E2,52,46,15,113,103,2017Fall
0x013A12DC881CBB8BDC605EDCAF5211ACE3D3B8B5CCB151576BB9E7DCBB0152CE618236729DB1CA14C025692CB7362566084ECCE152BA5471E3AC84C136DB142E5A,NULL,NULL,NULL,NULL,NULL,2017Fall
0x019BF7CCC5158C7C61C1DA18D2F02F2D79460C216CE4FD456F59E3B49F3CD7BE47553830BA5CB32B6B92629641008DA7C1D3E60ED8F5AFEC6C87EB59508DA2AE5C,12/8/2017,NULL,NULL,NULL,NULL,2017Fall
0x016CEB43D2C89A1440FF1892D5553A350E02B8204CAD53A4DB812E7E7221AB145517298EEFA48DDD774FA1F66F58C75EE09D8C16D78DB19CCBB008159929454293,NULL,NULL,NULL,0,NULL,2017Fall
0x018C576193FE4CE7D11E78FCD5D68EA08226479286FDAADFE9FE3E375B437C3AE334241AB7D5F15842EC869AFD0B1E00030ED45AFE5256D6B7AD8BFD4C581E9CD0,90,81,36,207,106,2017Fall
0x010EC7A724A1F1ECCF24E1B0E13A763B809E91A763B55FCB40718F75A825E13FF8270E8CF084DEC2217AE13A204BFC43FB9156AAE510DA143F4D9DBF8749CAECFE,50,49,8,107,103,2017Fall
0x01CE43AC948312695899B7CFF15F67C8EA5A9551268AB13565A19B72D185E3D74C3738901503E7DCCFB7309A2BF091A0D1AF5B4B23C07D101FC5AFC36F8311B5DD,29,40,3,72,101,2017Fall
0x01537C18D82F817F76782414A2FD9F6C0D40A9685FA6BB08F72145B4240E5DA3FC033D8EA4E6225998B7902C2B0B8BA9486274AAC3E61246347AD2B262C035D1A6,31,38,8,77,101,2017Fall
0x017972AEF7EC93C47E29218A15AC2B404CBF2BB3090E1D02019CD4C3B3E43E03D072E2EC95795EBF04695F31B93D9434F2C7F76A7F263DAFAD8C7E34F7DB6C4277,NULL,NULL,NULL,0,NULL,2017Fall
0x01BDD09EC52E22AD1695A84D97F22167512A53E36F6D91625EDF341A2FE5590FB418F041AE70222DE7615DF90A9BC62FE6CD376F26AED5E8C774D7EAAB75E0FFDF,NULL,NULL,NULL,0,NULL,2017Fall
0x0123B7BB94FE3DCEB8773A7FA435CC143F04B839CD8E6C0D521E90C14ECDC0E5396EB2CE499FE575E90AACEB9151380752B762AC99DC07D74828E2DE7BB92C2297,65,86,50,201,106,2017Fall
0x018084513C2F763FEC34518584DCE7C329426A8A66CF7E3535F507ABE91444B2F3857FE7885BAA15C2517D538B409B67C2868D2271BEB39ABAD7E69238BD428E4F,NULL,NULL,NULL,0,NULL,2017Fall
0x01198C0424181101D24319A4C848FAC93C6758834D3BEC83E650964E6BF8AE1B17503883ACCF2D8908817447460EE4FF66EEB27ABDD171FBBA25BC4E74685FB72D,51,50,18,119,103,2017Fall
0x010DE2976C49D700620CB74E1522C0848468DF48705954A6610E7823D4B83BE24F907660D2B45DDCFDD0C86618DAFB04BCEE4240486046DE2F324149F9350E791F,NULL,NULL,NULL,0,NULL,2017Fall
0x0100380EF675DAA1FAC1E7696174489575E15F83CD0992F27DBDF246ED306015D5B0786EBA008BE6963128BB13198831081531A693977984D1303BB7FD6423F910,0,0,5,5,100,2017Fall
0x0131255004D59989D3857317E582422490FD4DDA1CB894DB878753968DAC745CFCB0EBC63ADFC952D662441DF7B634E81124E5CEA8BC4DC3C87983BE4D2D66FE07,NULL,NULL,NULL,0,NULL,2017Fall
0x01906DC33FC4BF02E97BD1A3A5B3CEE1B67D3DD544DAD0438D9443B13332161ACA898A86FF0CE58554A4A311949E5C4A1E2DF0CEB2D6DACE6FFB6A4FFFDB88F8AD,52,50,42,144,104,2017Fall
0x01472B503300696E4AA44313B2811175734A198BEE25AF4B03D0F24A09525B1E301AB9622ED9635DB4289ED357B464D974A1D9F3280B1C9AFF56C23CBF42DEEA4F,NULL,NULL,NULL,0,NULL,2017Fall
0x01A9302B51E58C8BCAEF2122FA0D94AD9288418054959A2615EEC73041D81AB8107FBC20FA0C6CAEB6830D73DBA131565E27B9573B390B816EAABEEF59E7BFEECD,NULL,NULL,NULL,0,NULL,2017Fall
0x01CEE0ABF07213A5BF4BD879B2F275EB9DF4E2714B97302AAC7531729345C24B17447D21A8E984E90C1000D5BACA739278988925F75EE163A82CD4E3FA88F5248D,92,83,30,205,106,2017Fall
0x01751D2C8D1739519FCAA45C4F29DAB5DB4267EEC78B403D7410284C4E12A8CD9E88994170BC2E1415C04FC24C8F40267591A99423F09A7DCCE6C38D0DE51D6AC7,NULL,NULL,NULL,0,NULL,2017Fall
0x01F414C33932884FBCF13D02AEC5E5EE13BCAB265CF54E917405820C67BBA141BFE574A96081729BCFF931E09B35BB8E9A1F4CFEE3B25255DE59282BF751F01EB8,NULL,NULL,NULL,0,NULL,2017Fall
0x01AF012D15FBF00C85C9F862CF91E52E4EEF2609E2DB7E3913A3DC5568038887F0EBFDAE4DADCF2551A06D5B44D4E0B733B521D8F2857BB73A0757E656B6F39A0A,NULL,NULL,NULL,0,NULL,2017Fall
0x01528CDD8344BB21F8484F72054929FFD0C3476A1A6D7DA1D45740A211C9910EF367B43A98AC19B42DFE766E4A70DBB46BBC16081E44AE490C3DEE9EED6F2C2D34,NULL,NULL,NULL,0,NULL,2017Fall
0x0131BB99F429ADEA2A89C1771A0AC0F4054B2ED7B2E0228BD283AA7CEE35EFE327AC63E2091CCA6A7782018E1A3466192BAAB3F4653FFB6444F8163172A0A09D3E,50,53,16,119,103,2017Fall
0x016F1286B4A3844CC3C47C8477D1B2DDC0F9AF4CBA24F64105328B7F15EDCC0790B1EFEA374DAAACEBDD8D3CB181EED0583A90A1AC5E7F438D490B87E49CB70BB9,45,33,13,91,102,2017Fall
0x017A9655DB14D06607B44D01F344EC57BB90DD53FD135A7D4B534E8500D6CD64E238A7096720FF8842F602EC4C6AFE8ABDD2B9C8BC014B5EC154EA1D38086EACDB,89,55,28,172,104,2017Fall
0x0193A727396276F7C845135A9F317C4BF9FDBBE7BF12D47157AFFB408D7AC05DCD6EEF85E3D6B2AAD7227217CCF4287FA4F0EE2E86DEBA13DE0CE8EA7BFC71AFD8,40,38,18,96,102,2017Fall
0x01A9B86C08791AA5CB7C258DF6E9A9EC67C3563544D4BB4F55565C0E356117DD40013479CC41E856344AE669EEE18B4A18F600574AAB1CF2050ECAE84B30905B5F,NULL,NULL,NULL,0,NULL,2017Fall
0x01436F285A814EBF62AAC2EEAFF83689EA30DB05AF3DB81EAA74CF19C3DE1629D3C10F7680E219069C70091DFA92A6C9ADB8D39E6667DB08D3D389485A7FD86B25,NULL,NULL,NULL,0,NULL,2017Fall
0x0177B288197445D7E03B91DFB98A985D46AF67C785547BBAB500775E0B0F21320BFEED90AB91CA449325D82BD92AD08A32CEFC8E665131AD8178B0BA5322E8EE4B,NULL,NULL,NULL,0,NULL,2017Fall
0x0131641D3A6AC83A15FD1798F4CCC3F659F35B01A301231B94FA818EE536193FF24629B4AF32A9AEA47295C5EFB7877ACE798BBBA6F7DE61C1673DDA70FC384852,102,84,35,221,107,2017Fall
0x01403C42B626841056F9F25FCD49BD369DB1BA60376DA7F51EC1B6304A547B0157E75309039DFF5D0D33D372146355A99FA8248719113322483E470456A4582659,84,53,27,164,104,2017Fall
0x01B95D1A9217AA860A72FF36F03F91C664CE5309E3895E1584A36DC0F47762BDDC6EB2423007E1CA71F59C8BB68A975FF3186F623F6967662976835A0F7315D12F,44,53,35,132,103,2017Fall
0x015EB90A2B9BBCDC9252453AD25BFEAF06A276A9F917410A8E6750159ABD8A6C8BF0ADFAB22C77CE792208799350E55C1EA22E70C0813118BCF3EDA54A3A2BFB10,107,93,44,244,108,2017Fall
0x018CD831C9DD09C485FB45A88F43CFA218EC0A4DC5F61E7626EB3B40DDD1911E2A5FFD7C0D61FFF870095A7431EEE562EC2C66C29E65542E93A501FE29C4C1877E,NULL,NULL,NULL,0,NULL,2017Fall
0x0106EA569E98AA5CC5F18F3A4CBD147AA3DD1916294095EB2F615AA3FBAA91E6AB6EA53303EE712B258191E24629974B0B3C1C3388B541DEBB0A4DFDFE25DF2097,56,87,38,181,104,2017Fall
0x01EF3D35A5C5C7F295843F0ADCD209164514C0B96A2499DA81068EE8F88E11B560C624A0E07DDDD1DB30F353D08E9873A38C77C5FF2AFCB753C0133D22F7049324,NULL,NULL,NULL,NULL,NULL,2017Fall
0x01E9093F0F29FFEC53E9608DB5B64A2E44C45BFB0C12D69C8EC6C50F63D900255CBD386E85932BBA8EF9893CF816E951FAC387C73B864288A5E815F61BA31A0A2C,NULL,NULL,NULL,0,NULL,2017Fall
0x014167B777D8994098C16EF36727D8B0CE9937AE41214C50F5E954F3C13EC8B01C36322EEC801D6BE3BB75E80536DD9C4348CBFA0E3028AF0AFD0B3E564384C825,NULL,NULL,NULL,NULL,NULL,2017Fall
0x01D735FA0668C64C622798E39090F6500B647B8FB7C02544633A352C91B2D140697EF1A02D3F8E8912C957A55F3E6A977562D031EE2DA4E8CBFD86FE4E7BBA8082,NULL,NULL,NULL,0,NULL,2017Fall
0x0189EA2D6C50C42B890DCF53B6525D60B25F03509EB46A7AEA072D5D8856D205321BC62441B6A0ED5DE1E3ECC469BB245629134DE4806B4FDD531EF9B66F832358,92,47,19,158,104,2017Fall
0x01EDD60B41B773250324AFE2971767B6A306A4F4B165FA494E552BFE9878F178FB85E0512940B801FE0E29FB9D4232FF940AE0554ACDBDDAFD99500FE8FE2BAE4B,21,16,16,53,100,2017Fall
0x016D90781D6385D1DC241510D1FE3E9EF025CC4C797CC3B0B1C49EBB4D83D0BBF9B912366CF7A82500B12F178D9253D3EE148DE454C3096A526E1E18CE8CE10EEA,0.9,21,3,24.9,100,2017Fall
0x01A7180615BB938FFE4C939F4668925DBB7831A299415D699EBCC67646811392FEDE327F57BA420B4A2398205224334853C15C39FC75BE895E549ED99220E6012D,81,82,41,204,106,2017Fall
0x01EF8D305D36AB1B4E1F5F3DDE468BB7D536E494938FC68C7C5D25F7EC28595C14111FD79C65CB83C4A8B972A176B34B9992AFA69C2BEC155D4D0005B231265647,81,57,21,159,104,2017Fall
0x01E7702E8299E548113792B4FA66F26B0008B9C2FE4418E7D48CD966D96B7DBD69C48C5E4A14C6921A77A4A339AB84DD7EB4335FA6CB395ACF53D77B2DB0EB081C,49,46,24,119,103,2017Fall
0x019E1BFF1CB0A4A51A7872B66517CA494CED005F6C16E539F2B4C708D1AA48EE8B61F0FCA101B4065CC956B9756CC4A28AF6E012FCDC340DA8F3E5437F1CBD1849,69,69,29,167,104,2017Fall
0x01B8921443017BC279B605ED1413D9C50335E7C73D8AEEC9E671F80CB2B3FD9D6CE81914F4C69040A25E48EDBBF37FE785E18EB68EAD70E3E6E6E6EFC0D8F1659F,NULL,NULL,NULL,0,NULL,2017Fall
0x019C871A3DCAA02E0C5D56DBADAD8B3329F84E2F6B6263FE54C01117FBD8101C8A88DE7144D15EA70259F55B1020630B97F57C5559D13685176D02E757A0C6DD03,25,19,5,49,100,2017Fall
0x019168EF4FCD02AA849AC6E2E8212A0057C730C188C3AA76044537F226E0AAA8670A14E69FA46F9423C3893FE9B5FFFB240D81C33F1E246CBAA2C29F51DD531321,69,39,31,139,103,2017Fall
0x01A44718D902A16FF20737BED16A81EB15BB7B772786DFFFBED413BABDAE050E4D7D52ACB702E47513A020180DA1DFE43A601889643867A214DD7F3ABF5440E433,13,31,28,72,101,2017Fall
0x0104EB63DC3B900114BFCCC7B764A64A1E5E4990279B5099557B25682AD043C149A2A628C65861040DE641AB3FEED1CF163C0A08E7F12E77ED250DEBBDE8C17297,NULL,NULL,32,32,NULL,2017Fall
0x014261F96C0DF2DCDB5CD3451D354B283848E63C13013F199A38569C72086DE8440527742774D54B98C6D5A090B88C88035C596789539E44A10EFF1CCB7B38BBDB,39,47,16,102,102,2017Fall
0x01D9A45205F37E3F48A0B2A52AF096A6B0EFFD13A6414307B184A9D4DBB96548FBA3C91412629AB6CCCB7BE36F6C52943E7E03EE8453B75AB4341113A44FF9CDEF,NULL,NULL,NULL,0,NULL,2017Fall
0x017AEADD592F50BB26026A426D8E947CE572CB173EF2C8FA251BBB3879419FC0B75E90E70D1C28C0C82EF20F0F0B2CA2075DF8358A9A4EE9D8E100619AA75E9397,NULL,NULL,NULL,0,NULL,2017Fall
0x015BA273933DB834079C1225EE860CE654041BC5E759CD7E0C10088C1C6A69C49C31FE4E9BFE2193186B0749F08E5B7CE80AE3A8452F54D48E1886F40CE8A34FE9,NULL,NULL,NULL,0,NULL,2017Fall
0x01077C994566945DFC1DA4F9F25893F7CBA7FEE84B821C0610312A3AD857D097E496CD41B7A6E5CB1A925F385D9DFB17943358A6C3627973F5E7699656F629DBA8,NULL,NULL,NULL,0,NULL,2017Fall
0x016F06D33007056533B99AB7CC33983FF75E4E6F25CEE8979E7B996DA7CB24B24D6F92D2E4A79E63D2BCC2D6742B1B16E4729A2CCE6D3676AF48EA08CF0446BD12,NULL,NULL,NULL,0,NULL,2017Fall
0x014F9C16A6173BB4111404535A59D021B9D7A3D8809672C9228F46AB38A6E910778C871AF85FB50647F8A97414C3FF7C8A03698C420B1B8AB8E2AF3BDA835039E7,67,49,25,141,104,2017Fall
0x014978FCEF06B7AFE06C8040E8D95BE6BA90750A5F094CFB9725A908304B0DA61F988E9B04270B6E5C1BAD827944533B2D94FDCBBAA48B7C085D5B479EB45A1BA6,41,32,22,95,102,2017Fall
0x01975525BAE7FBD186E575FA2F62B47C07DF3BBCCA8B68D9EBDB4EA821976F6998BBC6D9381C2C754AB0A0C4A4DD9FD23A766530829F5BE24871F30F9AB4129989,NULL,NULL,NULL,0,NULL,2017Fall
0x01D2E47AF59326F33B178D8EE3D4885BD58E7D29280EE3E9C8C05A172566DB96D7BA87B721B9F00DC2BC9C6ECD021A93F2C671233E1812B77CDB24BE282858841D,10,26,17,53,100,2017Fall
0x01283D91E83998B4DEF0C4192BBA64E21F3D8B9EA80D5FD06B1D1AFDAAF025F875D722383DE97F9309018FD1CC96AABBE000B91ED87E01A4ACF4887A2CCB3E02A0,NULL,NULL,NULL,0,NULL,2017Fall
0x012DBAD2C63CA29690938403BB11976F0CF1C19F4B19ED2CD39E9961B5DD9DE590940793ABF2FA36A62F350E18A86E460C638BD3A16BBE73571052D4F5E7569D2F,20,20,20,60,101,2017Fall
0x01BC15E95002820C1C4CEB76BA06D06E3D0B30748AA84AA037D7D138F62644DA8ECC5914E4F04E4A81F26A9F04ABFDACCF366151ADD9DC7CAD83F39D3BB5C2D7EA,NULL,NULL,NULL,0,NULL,2017Fall
0x010F229F64E92AB3FCC9822B33EABF745935F908CCA00E5FF6F2F43441FAC14AE727F7823D7B8E813E9328FC3354792197029CCA80BDE737381DD9BDF7F05584AD,85,84,30,199,106,2017Fall
0x01BE42A1C3F2FF178F7CE66D40C84B4A9CD86588A3AA0EEF1D8826174561B740A42A253A0F60949149836390DAE2A194C6706A3FE6137139146749FB2539049BD9,55,80,33,168,104,2017Fall
0x0171AF7876216054510AFF29FBB0C0B7653B8BFA05BB7A258638AB2AE084D15333EE584B28F19F411C05B015C9C1A494A6AFEE47C13510FCCD13F431DD78DB84E3,76,83,33,192,105,2017Fall
0x01E994B3B5BD81062817CE36A2AC8978E0FE8574A8C34E528A2D94E36C198C6FA9984A2BE4C0ECD3A87E1E0C242E799B2E8FD2ABEEA5671F4AEF9C094600974295,NULL,NULL,NULL,0,NULL,2017Fall
0x01209FEC6BF023A93AF204C3E7FB0621B17DF91B5A69EB4A2166A6C4F7EB38A1EF09F3F48F1B622B7377FAF31FC62F2526652D5D018D5462C9B83DBDA6094CE1B4,NULL,NULL,NULL,0,NULL,2017Fall
0x01773C8E981DCAC2187D0BD7DF73E86FAFCECE91B0B5D82B3854E42D2D40F3B32F7A925DE47A22A57DD527BB0C7841DE85260C738ABDB20F0E9F4D08A076E0BB75,NULL,NULL,NULL,NULL,NULL,2017Fall
0x011DDF27D1D6FADE4BE47EF117D4729C9772DC714B982B00E5ACCED5D92DEAB0ED913E618D1C2FC560CBD75E2CFED6F62AC1436ABEAA28268319FD4D6BC1256DEC,NULL,NULL,NULL,0,NULL,2017Fall
0x011B0CB233C7488285CDDA622E8E5A20282072B3EA4999B44602E34D2058DBCE57BC6A592396929C494F6C990C3882939FF6CEFE3E761E8EEC8DB40EEF2AD3E2B8,NULL,NULL,NULL,0,NULL,2017Fall
