ID_encrypt,Start_Date,End_Date,Do_you_plan_to_study_in_the_Academic_Program_next_session_,4_Day_Test_Prep,1st_choice_elective_MW,2ndchoice_elective_MW,1st_choice_elective_TTH,2ndchoice_elective_TTH,Quarter
0x0108718108F59CDA84A16563ECA748C88B2FBE674D310EC7E5FCBCEEAF37B8F6D7124B2DEAB0BA6123EDF9D7F5274542AF1EE8AF1CF8BC8CF7AD0A59DF7DB44E26,9/6/2016 21:21,9/6/2016 21:21,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01A726F8337D869B835BD3B593A6A0898537A6DFE38BD1EABFB4968C9F5BBA9587F4AB1A23D96D360CF2CBA855FEED3819A82854D2E4D73C6E7A85288A3DB2AB65,9/6/2016 21:15,9/6/2016 21:15,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01A7E8A20F61D961A12DB649E2E70406F542862C58FC486A5D27EFFE8C7F0ABC53C01FC0193CC078312C5956B0836B8C8C0D6B39183D07129DD66F988787DE0A16,9/6/2016 20:10,9/6/2016 20:10,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x0126753EAE95F759180AE8477C2F24590756EF499DB1258737ADF916D89AA5FC8F89E58AE059C40B326401428A651ACF5B9E399FA9CA5B6C6682482CF523AD22B7,9/6/2016 18:15,9/6/2016 18:25,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,Business English,Public Speaking,American Pronunciation,Current Events,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01D3681DB5265FE9E9F74527625D5599DE32F8842BDD2696C08168215F4FFD6B82D090FBB458E66EA8FA9566C514F17EA74F9BAB1B118DB68C40141763D3A1FBA1,9/6/2016 15:05,9/6/2016 15:05,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x015DCD5D1580358C5713BD8DF6CEED32F2C28EF28597529D2339EFA043F6E51222E5827416706EEABDE523EEC40E189B8F93ED81EFAE327042B0FAF510949D4BEB,9/6/2016 14:37,9/6/2016 14:37,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x012232CAF14004DE4E271D06704350BCCDFA3AE729B4340F252F1E3A69E12E5C060CD3EC146E2243B9FABD81C4DDB81D1A1F82B1FB90BC903943A8642BB03F4A0D,9/6/2016 13:43,9/6/2016 13:43,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01769EFCEEED5FECED932AC93E1DEBEA1E45EFB362999A18B4C755ED8A22017268B314FCB3C9D3C4ADF5C96E2C75BFADE57848C571DDE879075501AF7B7653CABD,9/6/2016 12:44,9/6/2016 12:45,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x015844B264D701378F6942DC70F1DCE9A8BE94FCFD76D752C206742E3E9AA964D27EF4A70791C8DEE2DFAFE94548999E0082DE887D153246A47A9CB60C49831291,4/26/2017 11:57,4/26/2017 12:00,NULL,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Business English,Public Speaking,104 IELTS Preparation,American Idioms and Slang,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x0150BE18C453C5F7E0D5501653922C6112DB445E602BB4B533D5B4BAEA76B175BF645D8830AC668BF3AFFE1C96A8D7A2BC15D4F30BF7523F92B8C09DFB6B54B097,4/26/2017 10:59,4/26/2017 11:00,NULL,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x01D48A77DFD31A6EA225BEF0C00F202CD7C6ABFAAD438856F3BA6F259DB3E62C98F91AC9D2CD16BC1C6C5DFFBD15D89D68A255AD5D12E2783AD28CD84A939120FF,4/26/2017 10:53,4/26/2017 10:54,NULL,"I want 4-day TOEFL Test Preparation (Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x011E0AB67C31F70107C8F4EAC9022732740870E0B99E3D9E9581A7E6837F15BA970AECB23ED386A180C325CB7956F2A06916C4B35D5BFA9CE14DB929E6B1E4AB51,4/26/2017 10:46,4/26/2017 10:46,NULL,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x01283D91E83998B4DEF0C4192BBA64E21F3D8B9EA80D5FD06B1D1AFDAAF025F875D722383DE97F9309018FD1CC96AABBE000B91ED87E01A4ACF4887A2CCB3E02A0,4/26/2017 10:09,4/26/2017 10:10,NULL,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Public Speaking,Active Listening and Speaking,American Pronunciation,Current Events,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x013A12DC881CBB8BDC605EDCAF5211ACE3D3B8B5CCB151576BB9E7DCBB0152CE618236729DB1CA14C025692CB7362566084ECCE152BA5471E3AC84C136DB142E5A,4/26/2017 10:04,4/26/2017 14:00,NULL,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Business English,Business English,Word Play (Academic Vocabulary Development),Current Events,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x0114C951F90C5670CF9F13808C5E2DC4A7B34371E2A4ECF631249C9506548B0126DCF17BEDAFF953083D51701BC1B379068B8B718FD5E098AEF2B3370F7C9C756B,4/26/2017 10:02,4/26/2017 10:02,NULL,"I want 4-day TOEFL Test Preparation (Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x01606E3AD68F19C59C54E56CBB00AB758BED6F8D65C013EE0B1070F6BCD604433F8A260F2CFB4295E1E2BDCAA2BA17C2B90E43FD5A5B14B714E9DB1ED86D7ABF6E,4/26/2017 10:00,4/26/2017 10:02,NULL,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,English Through Movies,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x0120AC42C1F7FF5E03620CEEEAD157E858FBDFF672F9AF3C714CF3F56ED7A6E712D86DA67D770B231831B122D8484E015C45EF2C31DEE6ED2BFBB55EFBB8084612,4/26/2017 9:59,4/26/2017 10:02,NULL,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Business English,American Idioms and Slang,Word Play (Academic Vocabulary Development),AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x01555D4BFFE1161DF7BF05F38A2CF3E34A2AB3162DE6791397B240AF06F4CC2A6165D53F9325CD412D40E96AA09F91B9A74B24325898FEC6E4D7E231B08EC72532,4/26/2017 9:59,4/26/2017 10:01,NULL,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Business English,English Through Movies,American Idioms and Slang,Word Play (Academic Vocabulary Development),AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x0178A8A04FFD2C16397FD9C1E8336B23CBAD0CBBDFAE6BAA53D33188A2005F2398567B14D6D7B4ED33AF836A711B692DEAB5CAB941CC4E8EF5F912301F1263BE74,4/26/2017 9:59,4/26/2017 9:59,NULL,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Public Speaking,American Idioms and Slang,Current Events,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x0128F46E73B402B819864E46DC5E418BBF3EB03DA04E7B152CEADDDC148486C01AF2EB84A7EAF017E74418FE344A4B15338D6E0083CEB1D6B9C7E39D569760D4A4,4/26/2017 9:55,4/28/2017 12:48,NULL,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Public Speaking,Active Listening and Speaking,104 IELTS Preparation,American Idioms and Slang,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x015B8664CB00F585D8A517B38A35872C11996496694281416D06008B83C014BE598D89D8530E034CD80F0A19208211874FBC49FCA046F6609215A4769B7AF43956,4/26/2017 9:55,4/26/2017 9:55,NULL,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x01779ABB01FFEC8F378184894C60CD13AC87164130CA84E4574853F860E701090FEDC1249C8EFF7D9C7D35FA067A6FA8AB3AFE0CDEB305E06CB928DFA6EA7874D4,4/26/2017 9:48,4/26/2017 9:49,NULL,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,English Through Movies,Current Events,Current Events,AIEP_Spring_2017_2nd_Half_Elective_Preferences_Advanced
0x01338098E4CA354580B945CF14812EEB8AADF8B68C3228E718FEE554E92784523DF40C45457EBE95901E5158569F5D21DF24F4FE4C1AFDA903AC8ADB72FEC8AF2A,5/23/2016 12:24,5/23/2016 12:29,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,Business English,Grammar In Use,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Summer_2016_1st_Half_Elective_Preferences_Advanced
0x0127EE79EDB894B9083EB2C3ACBC1120DF8957C1EE42E1E16A8809F92CBE0B57C5A41771B95A9AADD0B72829944C78DCEFC6103B491E469A90C8B827C96ACC9A85,5/23/2016 12:14,5/23/2016 12:18,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,Grammar In Use,Public Speaking,TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Summer_2016_1st_Half_Elective_Preferences_Advanced
0x01317F73A514D6B6B73888CF3B59FFC910D36BBC2EC977993A42E218FBCB1D5450827E779F5D2684B926DFD6CC760D37CCC65858A03FE21AE41B805A55874E706B,5/23/2016 12:09,5/23/2016 12:10,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Summer_2016_1st_Half_Elective_Preferences_Advanced
0x017CE9A84CA25CE1C466520586A452CA8D5E0402A597196FF7D91B424D3853FC9F2DAC78A8CC976695297379760DF1B70B412ADE9A0B05F35A52DC011C9F7392B0,8/3/2017 14:14,8/3/2017 14:17,SHU YI,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Business English,Current Events,Word Play (Academic Vocabulary Development),AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x0172DA8BE7E77C07B0ADE7AFA065C3ABB6BDA4C3025A8C306EEE9606615410E84E6FAEDECBD01F80639153AB5F22EC168721C1416E84AAE0BB2FE6FF141331599E,8/2/2017 9:01,8/2/2017 9:01,Yskakov,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x019B515137B23EFB57CCCD37441CF0D37B2D0A5E516E3910363754D45D2F2FCE4C7F0263B04BB7ECC8E65894B6FF5E63E1ACA19BF7D764718EDE45BD09DBDFAF06,8/2/2017 8:12,8/2/2017 8:14,liu,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Public Speaking,College Workshop (Level 105+ ONLY),Word Play (Academic Vocabulary Development),American Pronunciation,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x0178954242F4FAEE2B05DF73179E739EBBEA46A1F5CE10CEC323B74E16E5302A75D5FD1B886121F8E82B6AD40D2428D5B0182A28FBD0D333FEAE52FAE335BB4E34,8/1/2017 9:25,8/1/2017 9:27,Alqassab,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Public Speaking,Public Speaking,American Idioms and Slang,American Idioms and Slang,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x01283D91E83998B4DEF0C4192BBA64E21F3D8B9EA80D5FD06B1D1AFDAAF025F875D722383DE97F9309018FD1CC96AABBE000B91ED87E01A4ACF4887A2CCB3E02A0,7/31/2017 15:02,7/31/2017 15:08,Jaraba,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,College Workshop (Level 105+ ONLY),English Through Movies,104 IELTS Preparation,Current Events,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x016CEB43D2C89A1440FF1892D5553A350E02B8204CAD53A4DB812E7E7221AB145517298EEFA48DDD774FA1F66F58C75EE09D8C16D78DB19CCBB008159929454293,7/30/2017 13:58,7/30/2017 14:04,"Bahillo Garca ","I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",Business English,English Through Movies,NULL,NULL,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x01219D0E7F43B8815CA7CCC10E46A0A33D81CB6F17D37AAA0230D507DD1B34F69D9F45A85AD96841F412264A09680AEC337F93EEE68E632B03EFF40824E5D35757,7/29/2017 12:27,7/29/2017 12:28,Sharipov,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x0128F46E73B402B819864E46DC5E418BBF3EB03DA04E7B152CEADDDC148486C01AF2EB84A7EAF017E74418FE344A4B15338D6E0083CEB1D6B9C7E39D569760D4A4,7/28/2017 9:30,7/28/2017 9:31,Saudegerova,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x012576BA3A05C873CE1AE959B1384DF3160DEFB8FFED99B99947B93B038C05EAC9CA45C79DB71F5EB9AC2912A0908F6A55C7A606598F7FF5ACF42FDD438D06BD1C,7/28/2017 9:06,7/28/2017 9:42,Sun,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Business English,English Through Movies,Word Play (Academic Vocabulary Development),Current Events,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x01D7F9196C94DF48766C25C624EDE46DA68C133E88EFBDAAC355E5A1E560A4A8EBD894A00F0E1598A34B408FD3A37D246927051D173B8D9B6CCB98E1451A1D7137,7/28/2017 9:04,7/28/2017 9:04,Ko,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x0120DC5A2B6D931604607472949D8AEF6E3E00E6D1272E58BE0D2328F4A30557AC89D620770C1E3AC21C4C470324E60574A4588224E7F1454AC27EF92EDA8CE02C,7/27/2017 23:04,7/27/2017 23:04,ZHANG,"I want 4-day TOEFL Test Preparation (Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x011D5D8C850C91E15D616777EC6A5E0450BA706D2225B1CE79FE9BF21A0917C929A1CCD563C6284F1DBC2DC58A57734799F1C73AD9E358476B5F1DEFE66D3D24B1,7/27/2017 20:45,7/27/2017 20:54,Eser,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,College Workshop (Level 105+ ONLY),Active Listening and Speaking,Word Play (Academic Vocabulary Development),Current Events,AIEP_Summer_2017_2nd_Half_Elective_Preferences_Advanced
0x01C45C5FA1FB9BF0410172D12158334D912853139D375D755E95BD7D7E4DBD590EF45A0E6C17B54F322C67E279724A5D6B794421EF56FA893019B0A2510F4341B3,2/1/2016 21:13,2/1/2016 21:18,ADV,NULL,English Through Movies,Active Listening and Speaking,Current Events,Community Service,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01C1AE08100CE4540D981D1D6081CB03999B484DACE707B54AC45A712C536346B17A17BC439D0118FC7AA12504FF17DECD2C78482CE20D979D544A6B62FAD8EBFA,2/1/2016 20:33,2/1/2016 20:36,ADV,NULL,English Through Movies,Public Speaking,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01AB9E54016C1AEB51156E4B3ACB40110A2495F0FB8400BCE6F010DB91BFDBE402747C49F5B26519DF0A86E71DC8ADDD828754CAA90E4687912391F73F9D1932E6,2/1/2016 18:12,2/1/2016 18:15,ADV,NULL,Public Speaking,English Through Movies,Current Events,American Idioms and Slang,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x0194F38222DAFFD6092E454407C2F312A919750199B6A6D5566F415E929F7310ED9A195DB54B1BE51382E72E0D9CF125E3D95117CD29915684C8BCF2CB570D72D4,2/1/2016 17:39,2/1/2016 17:40,ADV,NULL,Public Speaking,Business English,American Pronunciation,TOEFL Preparation,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01CC165597CD7D68E5B7BB52A7564CD0A5A4A54C312CC6E941243ACDB676CC7A9001954CFF55F5F1E9F22E84620288DF7678021E1070D57B47269F2244BF3BE1E7,2/1/2016 17:35,2/1/2016 17:38,ADV,NULL,College Workshop,Grammar In Use,TOEFL Preparation,IELTS Preparation,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01085D24BEC205CF7271DFBDFA4463AB8E39096BFE5F0345E61ED50BA3FD77D0D645656BE2DA164D3E9C99AE8207EF9821BB7F1BFADDCFFD9E263C61360E14F530,2/1/2016 16:54,2/1/2016 17:05,ADV,NULL,English Through Literature,Active Listening and Speaking,IELTS Preparation,American Idioms and Slang,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01985412F728FEF680A6888DDEF6743E7CCFDFB7058B1AE73E5D2BEA754EC1FC522B24808937E43376568CA49737556AA81504402043E87E784DCCAE9328441E8B,2/1/2016 15:51,2/1/2016 16:19,ADV,NULL,English Through Movies,Business English,Current Events,English Through Drama,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01228B78EA228F076EC62C62314D5F946125FE6DBD409F48AA06C823C470D4C9FEE6DCDF9EFB4DF9F0D94BA94CAB32F7E13502BCE9D11E10B2E654C620760B2506,2/1/2016 14:15,2/3/2016 13:08,ADV,NULL,English Through Literature,Business English,American Pronunciation,TOEFL Preparation,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01840B37B7D4F3D451E8A47A674BB7FCD7238A4720E66552CB3C5E2229E1FEC4796F667A7D6769B86A20C4D28AF2049D0B37EE525F1EAB34248FBB6FC2CA2AF0D9,2/1/2016 13:50,2/1/2016 13:52,ADV,NULL,Active Listening and Speaking,Public Speaking,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x014B09C53974C329671E737AC3BF063A0CEE79695061EBF0D930784714A4E606591B8B467C637531D1AC2910936ACCE69D023965DBF0B78DC758B581165A85B69A,2/1/2016 12:55,2/1/2016 12:56,ADV,NULL,Active Listening and Speaking,Business English,Current Events,American Idioms and Slang,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x011D675E3AF8D0CB7B60C567611B6F0ADA5E016B9597685080049DA6C650D5FD01717B410CD7152487F4E129161AF57F0D60A6277F4F01DA3A3D70627C37CE2D5E,2/1/2016 12:26,2/1/2016 12:30,ADV,NULL,Public Speaking,Business English,American Pronunciation,American Idioms and Slang,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01E09C6071A40DC29C1DFD9B07AC1F3F550076EB4CBC819800B24ED31CB9D682CEE28163C136ECCD5489C1893CD9851E942E79285F7636D3F236D5E769EAAAAAFA,2/1/2016 11:04,2/1/2016 12:01,ADV,NULL,Grammar In Use,Business English,American Idioms and Slang,Word Play (Academic Vocabulary Development),AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01F7B1C24909975ECD84C97DC5825D7B90331D5BC6DAC0479440A0EE5C9B2F65BC7EC9F092B17A69C3FDA097A5935F9AA7D4EFE9D03E03367E7CDFCA565F427E8D,2/1/2016 9:39,2/1/2016 9:40,ADV,NULL,Active Listening and Speaking,English Through Movies,American Pronunciation,American Idioms and Slang,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01BFBB3A513FC210B10F622CF73830A4DD5D987E6A11AB7B6839FEA3A76F203D643E187C61A29ED2CE3529F39D2F85C2DDDFCD040A75639D75E74D4DF65ED48FD5,2/1/2016 9:38,2/1/2016 9:40,ADV,NULL,Business English,Public Speaking,American Pronunciation,Current Events,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01BB434A26EE38235083A578DF65FD349BD88851E7F194265C72BF649D0692CADA89A0624AE9DA4D74FFE4A3D3A5F9D102366131BB2FD41EC6D559E9EEBDA344A0,1/31/2016 20:48,1/31/2016 20:50,ADV,NULL,College Workshop,College Workshop,IELTS Preparation,IELTS Preparation,AIEP_Winter_2016_2nd_Half_Elective_Preferences_Advanced
0x01704C523073A635C752284110C2CE2C638D87394B216CB2FCBB8218EEE674E890797591CB524639D0756FFEF61F2BA659B357A67DA8E8D98BDE22E3966E82C27E,9/6/2016 12:44,9/6/2016 12:45,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01D0E6766B8B5D0DCF17F653207533283AF0C162F917F0A6504E3430960ACE72939DD7834FA0ACE616245A8CB2B00E105965A2D1ABFAB7F31E96838D6C07129F84,9/6/2016 12:39,9/6/2016 12:39,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01DD917C62968FE9845D34D6FB1E8D62258DBF52F6C4D9DB7B71B194952EA7A334632558A33563938B5BAE1441DC80E08A2D6B61C5F7F8217C21AC1DBDCD331C91,9/6/2016 12:33,9/6/2016 12:36,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,Grammar In Use,Active Listening and Speaking,IELTS Preparation,American Idioms and Slang,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
0x01065D951136A566CA01F72370F74E0DF57631CA8E708785D5ABFAE02270555597D9E316E2FF701B22984211F3A9A4BC1AE31ECE8CFB871377D3210A216229162D,9/5/2016 12:53,9/5/2016 12:55,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,Business English,Grammar In Use,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Advanced
