Custom_Data_1,Start_Date,End_Date,Do_you_plan_to_study_in_the_Academic_Program_next_session_,1st_choice_elective,2ndchoice_elective,Quarter
0x01E31B97A299F291A2AAB13D588EADEE1AA6AE3698D36FB3244EDC462F1932FE88494D7B1B00945B1D3F744EC18738DA4F956AEBAD5BCBF4D8EE6E4CA185D82849,8/30/2016 20:38,8/30/2016 20:39,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01C53568D61AC1F2219BD36985DA816C12A5CB5BFA524288BC7DDFD0CE990195CE452D04D06A3EA16CFB196462C013D75200E432106707CA5BBA4DD84B3A8876A0,8/30/2016 17:48,8/30/2016 17:50,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",TOEFL Preparation,TOEFL Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01FD80DE05F3A029DD40F1B27C7B308F36B0E0E37BD2B1DF3E6FE64A4F30FF1ACF53B371FA04E4AA5F4351F65FFC3378116C4B6B96051E28D6B7A23508AB671B3E,8/30/2016 17:33,8/30/2016 17:34,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x0163D19346CBE563F6BBB7F916E77B2CA768221FB84E83F836D581587CDAEF2562847BA14DC33DB2A4374D0D0758F7FBFD240FF29F5A78688490C6DED74AFEBB64,8/30/2016 17:26,8/30/2016 17:28,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",TOEFL Preparation,IELTS Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x017CC7A891990BB25678943CD13138B8744D09F4C38F2D4C0183CCF5D042BC862D22B8CD8C8B53B6EC324C26FC25AB83411CC076FE6786D7688B5F734AF7E0124C,8/30/2016 16:40,8/30/2016 16:50,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",TOEFL Preparation,Community Service,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x018D946298771CCEBA54E960999046EE83706E6D5F1273A802319745133AB8FE03695193B836A51AEE763FA9E933543BD1B10ED753771755D83F1C27D219C553E0,8/30/2016 13:18,8/30/2016 13:26,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x0177BFA570402894A1C30951D2692238247BA1DA4CA83A5F809931D5374D705FE0DE86AE5DBEDDD4BECE3D416E1CAAECAA86704EEB8C4FFC15FF07CECA0DD85C8F,8/30/2016 10:00,9/2/2016 15:06,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",American Pronunciation,American Idioms and Slang,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x0163F487445EA07CF5B73C5F8065542AE6532F57DBED9A51302E558D91E8E8741F298DAC34E12F059DDB40BCF21FE63767151D00B266B86995B2866FCE80797DD4,8/30/2016 9:15,9/1/2016 12:59,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x016AE274F8E85F58EB298BFF5B762CA5A8282BC72D520F69B437E4CE6AB645AB40D74ED9A986491A5CB638E41545CE827D3A4249180BF5295F62800C11C67B718B,8/30/2016 9:07,8/30/2016 9:08,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",TOEFL Preparation,IELTS Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01D92471E301D12DEF9FF4971A5A827C62AC085B3A18A032DDA73664BF5460CD7478E99FC5E25BF3BC014AC4379B87FF66A9E60C966DF37AAC24CBD25B686CB88A,8/30/2016 9:06,8/30/2016 9:12,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01F17B8E8314738D840804A38732EE2EB2AC19703DA9BC9A8E2F454B85C5180A80D923F7A05687550D9EB22E5746AC1C13D7C7D494C32A4DB889F692BA1F0175B2,8/30/2016 9:06,8/30/2016 9:07,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01555F8A094FC95B904F46B88B0F9743793C3374B5D788EBD661DBFCF9A0E8DDAEB8FAB1654D02562E860A6A3DC4D566A6664AA221D4634D9E7C7A26E5A9BC80A9,8/30/2016 9:06,8/30/2016 9:15,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,Community Service,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x011E8562AEC2D21F3C5ECA25E9C056A47AFBDE1553500F24EEE0742D1AC74563965B0ABA7E7B1FE003BA9649BD0912B6833F0E9A3052C3E08B7905219A9DD955D1,8/30/2016 9:06,8/30/2016 9:14,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",Word Play (Academic Vocabulary Development),TOEFL Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01E1AD61A5924B7D45D31F775B0A15DF4FC250FFBBC1FACBE3D11CE3AA3656C558DE3C8BAB0BE5949C0B8D7192C193580910EA07C8478A40CB530AACDE131DA150,8/30/2016 9:06,8/30/2016 9:08,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x018365FFAE0D21C8234AE6D0D7307B190C8016A7AC2C0015324099FE20EC1FC7C066C7C2B875E2703E3B62155367976D1183FCD385A7DC1457B93BB9D92796E34B,8/30/2016 9:05,8/30/2016 9:17,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",American Pronunciation,TOEFL Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x0194B41BEAFAD0F4A2BB46AC1572E30308E713CA51FFD798EE339BCACB8EE4F4FB41FE5B8B6754A719E711D3700B9A8CF30871BF50F4935B4596BEA687C461730A,8/30/2016 9:05,8/30/2016 9:06,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",TOEFL Preparation,TOEFL Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x016CEF2B61D4578E0DFDDC5BDC7D1410C36EC86E720817296E1C50F0A3A4FA52F9D88444D90A3250264AC0282A66612B7E8EB78633E8EBDFE0FCD296089E51F90F,8/30/2016 9:04,8/30/2016 9:15,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",American Idioms and Slang,TOEFL Preparation,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x013105FD197CDAA743963AEDED19DE29853B48E82A221470E9E1F1FEFFA0B87756F81B8525B935CA7B866F40586E72B6DD5A65012C2854C8ED3AEFFA562D296038,8/30/2016 9:04,8/30/2016 9:09,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",Word Play (Academic Vocabulary Development),Current Events,AIEP_Fall_2016_1st_Half_Elective_Preferences_Intermediate
0x01C3B8D4479638772FF51B65F9F4018D4ADEDBA01131369CE7077722F9D94FD084A027F9FCB407BC0AB2786A6174D24711109D2386D71A446A06DEA1DD8B9194654E74E4F742B7A5D0AB58EE42FEAB3914,3/10/2017 19:03,3/10/2017 19:10,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",IELTS Preparation,American Pronunciation,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x0171FF2A0304AD5BC7B047167DB5F1923595EFDB5DDE5722843DD4F19832A79BB12E69F0D567D86939B71E6948E4133994FBA6FB6CDFCF7F4E1EC16D8BCC3BC96834DEA795CF118EE26A3E92CCDD062B64,3/10/2017 13:20,3/10/2017 13:20,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x014C9148D6AC75C090AF01AC84191CBADFAA10900219164FB3AF1139B201BD0C9DC74C453C7A7265756309B5E0B1A154E260FAD9AC07AA51A843D2CC11B66EC080A0D1C63AD6078C1488AAD80DD312AC24,3/9/2017 14:34,3/9/2017 14:34,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x0194D1F87FA6C69931D518BD06A5581C94CCA2D75D8E8B032ED064688346E32FE83D9DC9CD5C35B9A4B642E9296B4C5CC7A4DEBEA911D10D7A4A1BB764D7E54DF5,3/8/2017 19:22,3/8/2017 19:23,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",American Pronunciation,English Through Drama,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x01A12F646B8E4C83BCE9363B0E3E4A25D916478CD314FC2729D2A00BD012F433030CAD1D514177303C0EEB540B543DAED3E7AB5EC6CF256381F4C6B2612A5A4851,3/8/2017 15:25,3/8/2017 15:26,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x011DC6D78035039AD16CDCD67A51BE867A2AF47DCA63D7D48A8F5975073B9F60A79E8176656AA986FECDE09C36BC0E4E6EA1E59E668169CAA209B86DC43DF70C2B2824C94C9CCCC001D5E37E7C64532014,3/8/2017 12:02,3/8/2017 12:03,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x01CA8D63D0D092DDDC3A2887E3102989941775C0CF3856FFB6995C136EC2FE2C89B7D3FBFC3E7D2C784FD7BEAC268E8DF0A388E453BA9BECFB23462B587A7FDB39F5506E056B8C66917132E669E2A939E1,3/7/2017 11:46,3/7/2017 11:48,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",IELTS Preparation,IELTS Preparation,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x0180F1CA1970B94CAB93F6C712ABD3C363195A6D565D9D5624867F2B130452DF6D08F4B51C840915C67D68A307EA3E6243D9413BAFC20558C264BBEFF91C6CA28E66F9E4EA97230370D62A91CF2581D61D,3/6/2017 21:09,3/6/2017 21:16,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",IELTS Preparation,English Through Drama,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x0187E45C0B842B24EACFBFF354475D24BD4071FA5D387DFC22BAA2543E8238E18AA552C5D7CE0FF66BBF133CC9315B55ACFE401232F5D411093273E71F05CB2D64,3/6/2017 12:40,3/6/2017 16:57,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x01A754B9AB394B8FC2331DE077226868469651AFEB544D4BBCDCC901C1DCEDA98647195FBB4B86C70EFF49EF27F2D8C2F2569991870B334D485A886300DC1E132098ECE4617302D9DF865D5388ADB631C0,3/6/2017 10:54,3/10/2017 13:36,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x0167F59F070B564ADC788BD1DA865983AC7CA617E092F256353F7920396130FDF8645BED78A01E912CAA5D239ED99C23BB463F309A6829F38799093F74B4D325176C5C86EF4094F68C9AFA14C454EF78FE,3/5/2017 20:55,3/5/2017 20:55,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x0167DAD4BA7A813DAA85F538EF6DEDE50F2AF6F2858056990109302EACE0E32DB1269B5EED0152F6DCED7965C0843C8921984E0CDD2BE5B6402C46E0194714ED5BDFCA48448A2B713012866D41DEDFE08D,3/3/2017 13:29,3/7/2017 22:09,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x01A08D2BF865670E637070E3C6CE6BC533F2819A4905DA3E328A5930FBD665331A5F71526818116016DBCD21A4D7540C599B54BE6642E0CED44BBA5D09CB2FE4DB,3/3/2017 10:05,3/3/2017 10:05,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x019E364411E6C37912B94902EA0CFD05005D7E83714C8504994CF88DCDB8D0144F825C665911E1C3117928157DAF82E9B1DFBE48D2A5AC7513DC245EBC75CFEC33671ECA198BEF9759D6002D0E66AAFDC7,3/3/2017 9:29,3/3/2017 9:33,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",American Pronunciation,IELTS Preparation,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x01408DB04987F9FF3C216A20D9685B5C21C1E998878FC312C080799687C9FD22D1F0970122FEB50F24C3F8E9809EDAC9DB62C8442BD6D5A96CC01C627738B01A44,3/2/2017 12:24,3/3/2017 16:03,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x011453C0DA20275465EB484D158AEF23931A1ABBE5FFFFB010C6BCF0262BA123145BA6934AC1733245788024407816037CB0CE9FA4804F33DFBA4AB68D39B4DBB3,3/2/2017 10:19,3/2/2017 10:21,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",English Through Drama,Word Play (Academic Vocabulary Development),AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x0180B6FB99F1CE64EEA1D4434C5E2F38D77C9A74065D4340899E57A79FF8397202FEC1C4B9D780A84BE1C47D8E0F434393ADEE8C95C7BB389A8FC6CF04D9F33283FB7BEF71E29B3AAFAA1E07F4FCFB4D94,3/1/2017 9:15,3/1/2017 9:27,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",English Through Drama,Current Events,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x019FB7DF8BA1C069C82CE0D74AC6862E2B33B4989FE39008C1F404FCE3BEAF77AC99DCAE4ECB04A3DCD11CFB67E137A47607B34050D1203D2815FC02574F6D9F77A6C14700AA56D7FE25E6DDA70A2AD1D7,3/1/2017 9:04,3/6/2017 12:17,"YES, I have submitted my intent to register onlineand paid for the next Academic Program.",IELTS Preparation,American Idioms and Slang,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x014F9AD0A078931739C9A75C60E1F1D4C65DA8AC7CAF58E72E94AFAA6065BF86AAA2F6585E6A363B2F4620B2CBE60882CEFCF06A489D528F8BBF0015392BD84AD033757D6AA1E4995A2019EE4B73B4A80B,3/1/2017 9:02,3/1/2017 9:02,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Intermediate
0x015E717E37376DB2251D4CFED5D550CEF7ED06FE9FD9248FCA961394B9D5B89992D4FDFA31E14CBC7FF6CF2E8EA23BCDC0B711112B3D2327164EA3AD682050EC26,5/27/2016 19:11,5/27/2016 19:21,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",IELTS Preparation,TOEFL Preparation,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x019158AC6D8DB396D42E1954FC4DEF6D240FFC839AEC296EB7730CD6994AFFFA9D035501FF34FBFE57D4362682FA38DB63BEFB39355239E005FBEA4A8CB58E2731,5/26/2016 20:34,5/26/2016 20:34,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,NULL,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x016AE71C081D0C806C6FA9DF76053511B1D035DF4AF73A4B7F36E005D1117EB448B9931FA784E51FF010CB05A79BEAEBCBF72C789F4C4012BB9D4AF42D1A41853D,5/26/2016 16:23,5/26/2016 16:23,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x01B6F69E0A3A63CD542B2E63A2D4FA7392DB32C51ADB5E1F44F95DA8AC72A1406299076E2F2862D9FC692462525701E34AC161F03DA202231043AD1FAB3E3B2D92,5/26/2016 12:40,5/26/2016 12:41,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",American Pronunciation,American Idioms and Slang,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x018ADC0B39CC618D28BCC6365130D07C8F0AE53756AFA91E0410762326DBAF8F6F3C94CE95DB518089D90A5C3F245E0D2E31B9A43B48D6D8E0357F38AE1F41B583,5/26/2016 11:48,5/26/2016 11:48,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x01D708CFB9143C5445F3B561CEA08C5187C11E48FA95BBA26DB326BA9E0317B519C64A5F197B698E85B6EB7D214FC5C74D6A42EE24B23D40536BE0AAB5C5113E58,5/26/2016 11:48,5/26/2016 11:48,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x019978B77E70D4BB5D95AF04B80A56955A9144C4FD2FC0FC99C55605E6168A1608497572D910CD3CC4D3DD766869FD032D556C6039D237CF2E954A290E1967133A,5/26/2016 11:47,5/26/2016 11:47,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x0147681C3C4477BCA4501732DF7D832B8BB179FCCBE992A29429F8AB0AECE26D35AC53AB77C7C9DFC8D2B45804830144B9D284D0D1956F277443CCAB944A64E3A5,5/26/2016 11:23,5/26/2016 11:40,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",TOEFL Preparation,Word Play (Academic Vocabulary Development),AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x0146DF5B4504234333E659E035B231CDDA411804E86631784F7ACBC40E4BBF2020384792503FF115A7B8C89B2681BBE41DF78D76E26D264930A286CE3610CB2B32,5/25/2016 12:22,5/25/2016 12:24,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",TOEFL Preparation,IELTS Preparation,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x01305A4B8F80F3C20756727809601274E3A6F60B79DE1E440420C37EF9D6641B5CCFB47A068B055D173BFD15BD5497F452377C6AE7B28C1B6561ABB0278A8FD82C,5/25/2016 12:03,5/25/2016 12:03,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x01664E2EED0030626627399D6C44F08FFD5BBC124536E39C84CEB06F5AC49A43E77505341B9E3230D0219904371A058852AD3432EB86E3184B5082F1DE03D1E427,5/25/2016 0:32,5/26/2016 12:19,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",TOEFL Preparation,American Idioms and Slang,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x01D42BC8E18EBE54DC6701361214F2A1105362F570C5511738D794F4BBCF270BE70BA211FB3C1788543D41D9EE833A7BBD7229D7421D4B321B46F3E5C27A0C2298,5/24/2016 23:16,5/24/2016 23:30,"YES, I have submitted my application to UNEX 614 and paid for the next Academic Program.",NULL,NULL,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
0x01E1EF0159E049F35D731D02CD72D24BA744659CF59745803230DAE2D205497B6C7046FFEB6A84D8315812D5FAE9375A7D255F2F7ECF25AB22D7D871753167F593,5/24/2016 20:43,5/24/2016 20:43,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,AIEP_Summer_2016_1st_Half_Elective_Preferences_Intermediate
