ID_encrypt,Start_Date,End_Date,IP_Address,What_kind_of_electives_do_you_have_,My_Monday___Thursday_teacher_is_,My_general_evaluation_of_this_teacher_is_1_,My_general_evaluation_of_this_course_is_1_,This_teacher_is_organized_and_prepared_1_,This_teacher_gives_interesting_activities_1_,This_teacher_explains_things_clearly_1_,This_teacher_answers_questions_well_1_,This_teacher_gives_students_chances_to_participate_in_class_1_,How_satisfied_were_you_with_the_textbooks_used_in_this_course__1_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_1_,What_do_you_like_about_this_teacher_class_1_,What_changes_would_make_this_class_better_1_,My_current_Monday_Wednesday_elective_is_2_,My_general_evaluation_of_this_teacher_is_2_,My_general_evaluation_of_this_course_is_2_,This_teacher_is_organized_and_prepared_2_,This_teacher_gives_interesting_activities_2_,This_teacher_explains_things_clearly_2_,This_teacher_answers_questions_well_2_,This_teacher_gives_students_chances_to_participate_in_class_2_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_2_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_2_,What_do_you_like_about_this_teacher_class_2_,What_changes_would_make_this_class_better_2_,My_current_Tuesday_Thursday_elective_is_2_,My_general_evaluation_of_this_teacher_is_3_,My_general_evaluation_of_this_course_is_3_,This_teacher_is_organized_and_prepared_3_,This_teacher_gives_interesting_activities_3_,This_teacher_explains_things_clearly_3_,This_teacher_answers_questions_well_3_,This_teacher_gives_students_chances_to_participate_in_class_3_,How_satisfied_were_you_with_the_textbooks_used_in_this_course_3_,How_satisfied_were_you_with_the_handouts_and_other_materials_used_in_this_course_3_,What_do_you_like_about_this_teacher_class_3_,What_changes_would_make_this_class_better_3_,Quarter
0x01D4759C9C6C93F5F3888D0E0C2FFE476D764220F4FCBC843B54070B7BE1C00CF114DC9659E38EA70E082E14B482A072BCB5BA0356F088706AB737CF1BBBBAEDB4,5/1/2017 16:05,5/1/2017 16:06,104.35.11.49,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,5/1/2017 11:50,5/1/2017 11:53,131.179.58.17,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I don't see my class or my teacher on this list!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x013CDDFECB46A28D94950BC22314D4F14F30B0506B0955C807E7A3E9E1CB318D195655B0D0CB75BA00D9055A9CE0797CB8457C5D8187373E5631C3E0BA27BF601F,4/30/2017 23:01,4/30/2017 23:06,24.43.106.146,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PUBLIC SPEAKING (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I somewhat agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,ACADEMIC VOCABULARY(Joan Stein),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x016DA06AA65C4A750809EA46015583DDD3934D1C00C1B86097D5FB27615A3B1C3A22B149DFE1EC5C8A0A36B47442156640B52FEDEC7AC3BB5D150103BDB64EBEB6,4/30/2017 21:39,4/30/2017 21:39,24.43.105.110,I have one electiveMonday- Thursday,105 TOEFL (Leigh Hall),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x013AAD567707C2D71EFBAE4D7E15E73B16D010E2AE7CC7E44A3867E84847100349E247AD16E4B5ABFFC1A9971F5C2EE27E116F4E618ADEBC7A3C1036F9D5B6FF9F,4/30/2017 21:31,4/30/2017 21:31,172.91.81.238,I have one electiveMonday- Thursday,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01BE992F11BFCBBD08E1E2A7B2BD5EA74B61D98EE6FB5FB58707E571B4B1F7145291FFACFE3F509A4184A694E1BCE62B07939B89BC9DF78D8A3E8B9C5D624B5B49,4/30/2017 21:09,4/30/2017 21:12,76.168.129.119,I have one electiveMonday- Thursday,105 IELTS (Bobby Blundell),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01C479462683B419EC0555DB324B0CA5A7369E5101E2D7EDFE0DC9241B1E7C3B77E45C3DF79C9D6D6E9A837F89C49F4B2A9C56FAA3B638FCB01EE46AC53464F9AF,4/30/2017 19:33,4/30/2017 19:35,172.58.22.167,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BUSINESS ENGLISH (Gene Kavenoki),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,ACADEMIC VOCABULARY(Joan Stein),B - Somewhat good,A - Very good,I strongly agree,I somewhat disagree,I somewhat agree,I strongly agree,I strongly agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01D48A77DFD31A6EA225BEF0C00F202CD7C6ABFAAD438856F3BA6F259DB3E62C98F91AC9D2CD16BC1C6C5DFFBD15D89D68A255AD5D12E2783AD28CD84A939120FF,4/30/2017 16:56,4/30/2017 16:57,23.243.49.116,I have one electiveMonday- Thursday,105 TOEFL (Leigh Hall),A - Very good,B - Somewhat good,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x0120DC5A2B6D931604607472949D8AEF6E3E00E6D1272E58BE0D2328F4A30557AC89D620770C1E3AC21C4C470324E60574A4588224E7F1454AC27EF92EDA8CE02C,4/30/2017 16:38,4/30/2017 16:41,172.91.85.51,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BUSINESS ENGLISH (Gene Kavenoki),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,104 TOEFL (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x0114C951F90C5670CF9F13808C5E2DC4A7B34371E2A4ECF631249C9506548B0126DCF17BEDAFF953083D51701BC1B379068B8B718FD5E098AEF2B3370F7C9C756B,4/30/2017 16:12,4/30/2017 16:13,45.49.158.19,I have one electiveMonday- Thursday,105 TOEFL (Leigh Hall),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01B6D48896F670A49038263D6742BFD75EA675116F59D92106668C5E2D371774F09AC48D7653A5D8D702AAC5DB372B7579C304D149D79E60B1701FE434936B370A,4/30/2017 15:24,4/30/2017 15:28,172.91.89.66,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE LISTENING AND SPEAKING (Lana Koyadinovich),B - Somewhat good,B - Somewhat good,I somewhat disagree,I somewhat agree,I somewhat agree,I somewhat agree,I strongly agree,Somewhat dissatisfied,Somewhat dissatisfied,NULL,NULL,104 IELTS (Julie Normington),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Somewhat satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x0179A7DD15344830262379A07C785A9271932D3CFD613FABE9A163B5FCCF554CB0739D73D355E2F3546526977B209F237C928020CCF53662AFEED8FB4F9C01C784,4/30/2017 15:10,4/30/2017 15:11,23.243.53.31,I have one electiveMonday- Thursday,105 TOEFL (Leigh Hall),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/30/2017 14:28,4/30/2017 14:29,185.47.222.79,I have one electiveMonday- Thursday,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01AF012D15FBF00C85C9F862CF91E52E4EEF2609E2DB7E3913A3DC5568038887F0EBFDAE4DADCF2551A06D5B44D4E0B733B521D8F2857BB73A0757E656B6F39A0A,4/29/2017 22:37,4/29/2017 22:39,23.243.57.161,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PUBLIC SPEAKING (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,104 TOEFL (Fawzia Mohamed),A - Very good,B - Somewhat good,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,I somewhat agree,Somewhat dissatisfied,Somewhat satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x0177FE26F93BC69547E760FA87CB6C87DE90BDACEB433912FCF5C7E8E1404DCBE754DBC3990797F1DCE92688C5E8FE41A55DEEA1C694AD5C6F4C66C4B253CD9E0F,4/29/2017 19:35,4/29/2017 19:40,23.242.7.92,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BUSINESS ENGLISH (Gene Kavenoki),A - Very good,B - Somewhat good,I strongly agree,I strongly agree,I somewhat agree,I strongly agree,I somewhat agree,Very satisfied,Somewhat satisfied,NULL,NULL,104 IELTS (Julie Normington),A - Very good,B - Somewhat good,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x012AD4DE9ACB32E877CD8F88773DD9F3BDE98A5679C78E50B86FDF34FD32F7DA9D08D1EFA0AD94C8B81226EDB79371DE48AA2FBFD21F6E56E52A04C544668B143D,4/29/2017 18:08,4/29/2017 18:09,104.172.234.158,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PUBLIC SPEAKING (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,104 TOEFL (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01B2C24A8122867E456191E61C40FF864D4A0523EFC209AA76131A9971A7A17E6CF899ABFABC5975788C7DC476DB1808A3495861A5903FD61224B0AC9F59E756E6,4/29/2017 17:33,4/29/2017 17:36,201.130.60.8,I have one electiveMonday- Thursday,105 TOEFL (Leigh Hall),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01EB7A1B5AC6954F07D675510DB7E06CB47787F28498A2B35625666868539464F03CBFDE7E6EB71F06E355ADCCD8CC345A1FEAF0B94B9DAD754DF967388A659D15,4/29/2017 16:23,4/29/2017 16:28,172.91.72.174,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ENGLISH THROUGH MOVIES (Ben Goldberg),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,"it's really interesting, it is my favorite class","nothing, I love the choice of movies Ben makes",104 TOEFL (Fawzia Mohamed),A - Very good,C - Somewhat bad,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,Very dissatisfied,Somewhat satisfied,"I love the teacher, but unfortunately, this class is so boring.  The book quality is so bad and it is so overpriced! ",Change the book for a cheaper one and better! Try to make the Toefl fun to learn.,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/29/2017 14:55,4/29/2017 14:56,172.58.28.149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01555D4BFFE1161DF7BF05F38A2CF3E34A2AB3162DE6791397B240AF06F4CC2A6165D53F9325CD412D40E96AA09F91B9A74B24325898FEC6E4D7E231B08EC72532,4/29/2017 14:28,4/29/2017 14:31,107.77.227.130,I have one electiveMonday- Thursday,105 TOEFL (Leigh Hall),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,Giving us chance to think creatively! She has good pronunciation and explains questions clearly!,Change paper book to real text electronic way.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
NULL,4/29/2017 13:19,4/29/2017 13:30,107.128.68.124,I have one electiveMonday- Thursday,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x01283D91E83998B4DEF0C4192BBA64E21F3D8B9EA80D5FD06B1D1AFDAAF025F875D722383DE97F9309018FD1CC96AABBE000B91ED87E01A4ACF4887A2CCB3E02A0,4/29/2017 13:17,4/29/2017 13:43,108.231.20.223,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PUBLIC SPEAKING (Fawzia Mohamed),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I somewhat disagree,I somewhat agree,Somewhat satisfied,Somewhat satisfied,NULL,NULL,AMERICAN PRONUNCIATION (Gene Kavenoki),B - Somewhat good,A - Very good,I somewhat agree,I somewhat agree,I somewhat agree,I somewhat disagree,I somewhat agree,Somewhat satisfied,Somewhat satisfied,"Because of his unprofessional behavior (using slang and informal English), I found his class extremely entertaining.",The teacher can be less informal and more conservative.,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x014CAB82DCBD897662E37DB5FAE00C9694AD4FF05AB00864DECA1912ED557B1AC87C4A17913393F4D29B13212B122A30127C8917D899FD0515CAB899E0B4638BBD,4/29/2017 12:28,4/29/2017 12:31,23.242.137.188,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ENGLISH THROUGH MOVIES (Ben Goldberg),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,N/A (We did not use a text book in this class),Very satisfied,"Ben tries to make the class participate and discuss, which is good for the English through movies class.",NULL,CURRENT EVENTS (Kyle Duncan),A - Very good,B - Somewhat good,I strongly agree,I somewhat agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
0x018A0E3104FEEC020E30446C82D82060DCA051B7322D4802A36A19B5B813BAC425585EFC4D345D9956DFE9C12021CB50F33F613AFFCC36A16A3796E8E396370C21,4/29/2017 12:20,4/29/2017 12:21,76.167.248.241,I have a Monday/Wednesday elective AND a Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PUBLIC SPEAKING (Fawzia Mohamed),B - Somewhat good,B - Somewhat good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Somewhat satisfied,Very satisfied,NULL,NULL,CURRENT EVENTS (Kyle Duncan),A - Very good,A - Very good,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,Very satisfied,Very satisfied,NULL,NULL,AIEP_Spring_2017_Elective_Evaluations_First_5_Weeks
