ID_encrypt,Start_Date,End_Date,Do_you_plan_to_study_in_the_Academic_Program_next_session_,1st_choice_elective_MW,2ndchoice_elective_MW,1st_choice_elective_TTH,2ndchoice_elective_TTH,Quarter
0x019AF7AC5EDA2A2CBBBA716BF881C55BC0493B6748542316DDAEC5DB5E6D68955A2A48B8BD1BE389F52DAE3A7DD3E3AA8043CBC31F8CD014AC3CB12B82BA19E51D,9/19/2017 10:40,9/19/2017 10:40,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x01D735FA0668C64C622798E39090F6500B647B8FB7C02544633A352C91B2D140697EF1A02D3F8E8912C957A55F3E6A977562D031EE2DA4E8CBFD86FE4E7BBA8082,9/18/2017 20:49,9/18/2017 20:59,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Business English,Active Listening and Speaking,Current Events,Word Play (Academic Vocabulary Development),AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x011DDF27D1D6FADE4BE47EF117D4729C9772DC714B982B00E5ACCED5D92DEAB0ED913E618D1C2FC560CBD75E2CFED6F62AC1436ABEAA28268319FD4D6BC1256DEC,9/17/2017 8:47,9/17/2017 8:48,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Business English,Active Listening and Speaking,American Pronunciation,Word Play (Academic Vocabulary Development),AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x0114C88C379056DDC7736132320E1F8B319B724A2342D7F24223EAF645242410F7CB9303CFF43A339A8D7AF54D3BED1E0F22E5CC6FFA13DCF3718FA0F20A590AEE,9/15/2017 18:46,9/15/2017 18:46,"YES, I have submitted my intent to register online and paid for the next Academic Program.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x011B0CB233C7488285CDDA622E8E5A20282072B3EA4999B44602E34D2058DBCE57BC6A592396929C494F6C990C3882939FF6CEFE3E761E8EEC8DB40EEF2AD3E2B8,9/15/2017 18:27,9/15/2017 18:27,"YES, I have submitted my intent to register online and paid for the next Academic Program.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x010B67DACF2F2606193513C537B61E353DA2163EA68349C27423556998BD242AADF8101B409AD6E7FE0B4A85CB730FE7F0936109F139F26EDD93E6757584F79E56,9/15/2017 16:58,9/15/2017 17:01,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Business English,Active Listening and Speaking,American Pronunciation,American Idioms and Slang,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x012260E2CC56C244A3FFA99CDAA2479F8924E5FF3EBC92BA18EF803CCFBD979A6B990CF18ABD70D9C90865C006DA2C287CA54A54B5C92431C22131F4BCCA033D42,9/15/2017 16:55,9/15/2017 16:55,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x014F9C16A6173BB4111404535A59D021B9D7A3D8809672C9228F46AB38A6E910778C871AF85FB50647F8A97414C3FF7C8A03698C420B1B8AB8E2AF3BDA835039E7,9/15/2017 16:47,9/15/2017 16:53,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Business English,Active Listening and Speaking,American Pronunciation,Current Events,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x017D5B019B7FDBD4FFFFCBA4F2A3EA7E04BEC6338999153F842213051BB775E7A76E4B5DBA291EAC4E7BB1F1E780C5755D352D0D92F7C7D02A0F66C05A23B749EC,9/15/2017 16:38,9/15/2017 16:40,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Active Listening and Speaking,Public Speaking,American Pronunciation,TOEFL Preparation,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x01AC30C8B11A7F552B7874AAEFDC101BB24BCBC8A920F6FF4D6755E51DCD4B662B15EC7FC28AC0C7977FA9BDDD5288385FAA3E0ED096D3F12D02070B3405AF0F94,9/15/2017 16:17,9/15/2017 16:17,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x015CAC5E78530D9581EA53CB46C61703F46E1EA4FFEED345F50AE058F8559FDE2396697FC82D74817C12D05DE2C919D1582158E95156AC8806C55C0F03FE0DFAC3,9/15/2017 16:15,9/15/2017 16:16,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x018BA638753747E52872262A24B20D05E15F49AB099534A1BD51CC864A64FCAB3E54FDF812CCF95633D70BF354D718C0DFFA0315A21B4F2FE76A0F91F99C8E37BA,9/15/2017 16:15,9/15/2017 16:15,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x014167B777D8994098C16EF36727D8B0CE9937AE41214C50F5E954F3C13EC8B01C36322EEC801D6BE3BB75E80536DD9C4348CBFA0E3028AF0AFD0B3E564384C825,9/15/2017 16:14,9/15/2017 17:38,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Public Speaking,Active Listening and Speaking,American Pronunciation,Current Events,AIEP_Fall_2017_1st_Half_Elective_Preferences_Intermediate
0x01FD96DBAEFE99C2DFF28208A437B06D0CF9BB6D4A0464F9418DFB283D2D58447EACE32525A103AC58CA785C6548866DBA47032B5F652D494BF4DE1EC14E609139,6/2/2017 12:03,6/2/2017 12:03,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Summer_2017_1st_Half_Elective_Preferences_Intermediate
0x014EEE1D53EDE6DB0D88D32E3E2659F9B3745EECFB03F3C22D3D93685F200C76EA0E183020B80F1D8C74C1AC758FE5FEB31FACB7474B112A2E9046C4DB6F95B26B,5/29/2017 13:57,5/29/2017 13:57,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Summer_2017_1st_Half_Elective_Preferences_Intermediate
0x0166DA6641EDECEA3854E66909BA25A1778DEDBCE6C688F87B438E96708EC2E39DB3D4A9FA2CDBA8EBDC5E5B724FE478BB54E6028E83CF6CA6473BF2B4026D80BD,5/26/2017 14:24,5/26/2017 14:26,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Business English,English Through Movies,IELTS Preparation,American Idioms and Slang,AIEP_Summer_2017_1st_Half_Elective_Preferences_Intermediate
0x016E1699E78D7774A92D84E8840E2C083D15CA3B4D01FFEE5E6C70336E746BD29D930873A6E008A086861F31577E197F2D633CB55C6791BDB2678F33F53B7E9052,5/26/2017 13:04,5/26/2017 13:04,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,AIEP_Summer_2017_1st_Half_Elective_Preferences_Intermediate
0x016211AAECA81925F654872BFC2D9A750F138605A5ABE27C877C31D6BBDE01FA48BA10418FBD0072099BFF20D8B02439E821B2163C187BCADC305EBDE30CB86260,5/26/2017 12:42,6/9/2017 12:59,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Active Listening and Speaking,Active Listening and Speaking,NULL,NULL,AIEP_Summer_2017_1st_Half_Elective_Preferences_Intermediate
0x016705CCAF6CB059122648350BBBC002B8C22AB1B5DCB5AA01EC974CBC3A1EB4841E1B3DD3B186DD39CBF2F8B2CE80C1B440B20D714737F151D3200DF4F5740CCD,5/26/2017 12:06,5/26/2017 12:09,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Business English,Active Listening and Speaking,American Pronunciation,Word Play (Academic Vocabulary Development),AIEP_Summer_2017_1st_Half_Elective_Preferences_Intermediate
0x019BF7CCC5158C7C61C1DA18D2F02F2D79460C216CE4FD456F59E3B49F3CD7BE47553830BA5CB32B6B92629641008DA7C1D3E60ED8F5AFEC6C87EB59508DA2AE5C,5/26/2017 12:04,5/26/2017 12:11,"YES, I have submitted my intent to register online and paid for the next Academic Program.",English Through Movies,Public Speaking,Word Play (Academic Vocabulary Development),Current Events,AIEP_Summer_2017_1st_Half_Elective_Preferences_Intermediate
0x01882240856E256BDB3405B7FDD911022D45489CD0EEF50B34DB78556DF4995FF73C0C2166F665E8FD332CFB6456A315707902BA404EEB6DD7232824407F57B3E7,5/25/2017 15:25,5/26/2017 14:02,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Business English,Public Speaking,Current Events,Word Play (Academic Vocabulary Development),AIEP_Summer_2017_1st_Half_Elective_Preferences_Intermediate
0x01F53EF0114045C9AA551DD9A467A17CA0F7F29D9472809B06E75B59125725BC996789DD714F8E311340381569DC6FA1E3319B75D2ECE0481829F7074B501536DA,5/25/2017 10:56,5/25/2017 15:30,"YES, I have submitted my intent to register online and paid for the next Academic Program.",Active Listening and Speaking,Business English,American Pronunciation,TOEFL Preparation,AIEP_Summer_2017_1st_Half_Elective_Preferences_Intermediate
