ID_encrypt,Start_Date,End_Date,IP_Address,4_Day_Test_Prep,1st_choice_elective_MW,2nd_choice_elective_MW,1st_choice_elective_TTh,2nd_choice_elective_TTh,Quarter
0x0139EEE4821A1BFD8B9F2B8610EFDF9BC518D6046DD76BCE3FC7DC700C6426B90B05C64E36D68AF81814BA64FCBFDB1AFC0E272BC59B7765B43D631B14D14B9661,3/30/2017 1:57,3/30/2017 1:59,37.36.230.242,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Active Listening and Speaking,American Idioms and Slang,Current Events,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x0178954242F4FAEE2B05DF73179E739EBBEA46A1F5CE10CEC323B74E16E5302A75D5FD1B886121F8E82B6AD40D2428D5B0182A28FBD0D333FEAE52FAE335BB4E34,3/29/2017 15:21,3/29/2017 15:25,172.250.21.43,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Business English,Public Speaking,Current Events,American Pronunciation,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x013CDDFECB46A28D94950BC22314D4F14F30B0506B0955C807E7A3E9E1CB318D195655B0D0CB75BA00D9055A9CE0797CB8457C5D8187373E5631C3E0BA27BF601F,3/29/2017 15:20,3/29/2017 15:27,24.43.106.146,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Active Listening and Speaking,American Idioms and Slang,Word Play (Academic Vocabulary Development),AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x01555D4BFFE1161DF7BF05F38A2CF3E34A2AB3162DE6791397B240AF06F4CC2A6165D53F9325CD412D40E96AA09F91B9A74B24325898FEC6E4D7E231B08EC72532,3/29/2017 15:00,3/29/2017 15:01,107.77.202.195,"I want 4-day TOEFL Test Preparation (Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x0179A7DD15344830262379A07C785A9271932D3CFD613FABE9A163B5FCCF554CB0739D73D355E2F3546526977B209F237C928020CCF53662AFEED8FB4F9C01C784,3/29/2017 12:02,3/29/2017 12:03,23.243.53.31,"I want 4-day TOEFL Test Preparation (Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x019606BE2DC95A15DBCC421D72E981FD2CC2C0A3DA230DB82CAC6E052859313C5A2DF66C6348644A7D978DC33B308EB068EE98DE11F8C5211DD63148F51289F186,3/28/2017 20:51,3/28/2017 21:05,51.235.179.90,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x0150BE18C453C5F7E0D5501653922C6112DB445E602BB4B533D5B4BAEA76B175BF645D8830AC668BF3AFFE1C96A8D7A2BC15D4F30BF7523F92B8C09DFB6B54B097,3/28/2017 20:53,3/28/2017 20:53,24.43.105.110,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x013A12DC881CBB8BDC605EDCAF5211ACE3D3B8B5CCB151576BB9E7DCBB0152CE618236729DB1CA14C025692CB7362566084ECCE152BA5471E3AC84C136DB142E5A,3/28/2017 20:45,3/28/2017 20:49,172.56.30.75,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Business English,Active Listening and Speaking,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x01606E3AD68F19C59C54E56CBB00AB758BED6F8D65C013EE0B1070F6BCD604433F8A260F2CFB4295E1E2BDCAA2BA17C2B90E43FD5A5B14B714E9DB1ED86D7ABF6E,3/28/2017 17:36,3/28/2017 17:37,47.151.130.74,NULL,NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x017BC18EDF63DFA20CC274AF5BF1233994B243C4341C21773F3A8C2BA189751BE914A1FF5A118A55217BB1954102FC3119ACA07DF7D39C15898B1FFBEE64CDDCBF,3/28/2017 16:46,3/28/2017 16:54,76.94.17.243,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x019BC58D954ADFCD12EB2E0FAFA95A663437570DE404DB09EE99B87273E1ED31C82C1703DC03BCF52C8A421FA897DA13F5558B72B83D3CB4A617F18C03C627175B,3/28/2017 13:32,3/28/2017 13:44,64.134.228.158,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Active Listening and Speaking,Word Play (Academic Vocabulary Development),American Pronunciation,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x013EE58E9CAC52EB892CFCCA93C73E989F96A3E4DD475DE3A098FBE9505195954AAD0624DEFA9CECCAF07BD659D7FBE2E3902B18699982A892D7074859335922C1,3/28/2017 10:21,3/28/2017 10:22,23.243.49.116,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x018AD18B601231FE8C474C4937925DB6E3CE96004D17BD2B0A04CB883CED4FE0AA29FA4C93924FA2848C2FA1E20BC997E37406EAED374FCB500F9A69F1C6C7C492,3/28/2017 9:51,3/28/2017 9:53,45.50.165.166,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Business English,American Pronunciation,TOEFL Preparation,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x01D48A77DFD31A6EA225BEF0C00F202CD7C6ABFAAD438856F3BA6F259DB3E62C98F91AC9D2CD16BC1C6C5DFFBD15D89D68A255AD5D12E2783AD28CD84A939120FF,3/28/2017 9:30,3/28/2017 9:31,23.243.49.116,"I want 4-day TOEFL Test Preparation (Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x0128A2885A13F0369990217D29737EEEEBB23F9F47ECDA502035AA16D934B585F3BA56E70A21F40F9FFDD217A7C545394EC7EE35D156DBE3B58AEF8F27725EC832,3/28/2017 8:23,3/28/2017 8:23,45.49.234.180,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x0178A8A04FFD2C16397FD9C1E8336B23CBAD0CBBDFAE6BAA53D33188A2005F2398567B14D6D7B4ED33AF836A711B692DEAB5CAB941CC4E8EF5F912301F1263BE74,3/28/2017 3:16,3/28/2017 3:17,45.49.170.232,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Active Listening and Speaking,American Idioms and Slang,American Idioms and Slang,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x013FF9FC4DC0D8BCEC60559316C556AABE814EE3360B08052DC7F3ED71FB5222442516D21C7DFBEC06152CC34115171610F8C8FE4CF17FF6700E142E8F63A3B6C0,3/27/2017 22:08,3/27/2017 22:08,94.129.239.183,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x01E4F17DFB304677BDE3B3170CFD101A60DE4523169109121A48E5856B400D3E238F4D64C4336204E52B04F4AFEC1FF387656ACC03DAE59382BEDCEA2FE0BAB105,3/27/2017 21:15,3/27/2017 21:17,23.243.48.234,"I want 4-day TOEFL Test Preparation (Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x018DEDAE28AE9E6343D9069F66E28365DB5D692AB0BDA4AACF6F8B88F9C3CF4B289D84379B89DB697B6512DF4092B16FF035D717F2BD08EA0E4D9C372791BFB376,3/27/2017 20:08,3/27/2017 20:09,63.249.51.214,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Active Listening and Speaking,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x01BDC08C21D9A5F0B0572C2E7B0A5ED07A6398FDC001E8D49E8D3BEB6D2899EB01F323D8AE52B1BB7536F0CFB2892EBC69D79EF8D74A97593C0CE69C3B4C60ED75,3/27/2017 19:28,3/27/2017 19:29,23.243.50.149,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x01C9F8160A11BEBCDC96BD3F240F47A985068F5B45CD00B02ABDACEBE4D9D0F3EA708B5483407A70FA0B8550D720BF0F170BC149E895A1BF2F9BA2C4250992F0ED,3/27/2017 18:22,3/27/2017 18:24,104.175.210.233,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Public Speaking,Word Play (Academic Vocabulary Development),Current Events,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x01F4AF0DFAF126C437C97CEEFA8477D6F0A24C07C32A9574E39D345B88F1F03918E22CF2EED26B02E9A829EB2A2FBA38DCE72B2156B0BB40B01B7357C15F8D0C42,3/27/2017 15:58,3/27/2017 16:00,63.249.51.188,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Business English,Active Listening and Speaking,Word Play (Academic Vocabulary Development),American Pronunciation,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x018A0E3104FEEC020E30446C82D82060DCA051B7322D4802A36A19B5B813BAC425585EFC4D345D9956DFE9C12021CB50F33F613AFFCC36A16A3796E8E396370C21,3/27/2017 13:47,3/27/2017 13:48,188.70.41.110,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Public Speaking,Business English,Current Events,Word Play (Academic Vocabulary Development),AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x014CAB82DCBD897662E37DB5FAE00C9694AD4FF05AB00864DECA1912ED557B1AC87C4A17913393F4D29B13212B122A30127C8917D899FD0515CAB899E0B4638BBD,3/27/2017 13:39,3/31/2017 15:03,172.58.23.14,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,English Through Movies,Word Play (Academic Vocabulary Development),Word Play (Academic Vocabulary Development),AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x0120AC42C1F7FF5E03620CEEEAD157E858FBDFF672F9AF3C714CF3F56ED7A6E712D86DA67D770B231831B122D8484E015C45EF2C31DEE6ED2BFBB55EFBB8084612,3/27/2017 13:25,3/29/2017 11:33,172.56.17.197,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Public Speaking,Business English,American Idioms and Slang,American Idioms and Slang,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x01D4759C9C6C93F5F3888D0E0C2FFE476D764220F4FCBC843B54070B7BE1C00CF114DC9659E38EA70E082E14B482A072BCB5BA0356F088706AB737CF1BBBBAEDB4,3/27/2017 13:15,3/27/2017 13:16,162.207.213.157,"I want 4-day TOEFL Test Preparation (Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x0114C951F90C5670CF9F13808C5E2DC4A7B34371E2A4ECF631249C9506548B0126DCF17BEDAFF953083D51701BC1B379068B8B718FD5E098AEF2B3370F7C9C756B,3/27/2017 13:13,3/27/2017 13:14,45.49.158.19,"I want 4-day TOEFL Test Preparation (Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x01A6AC764DD48AF68412777A0CC2F0A5ABD96C1EEFB3B6C397717674498D8669A68D01DD62BCBA0F5BC5D556E40399798AB8753E507398748C47AE1FAB442167D0,3/27/2017 13:03,3/27/2017 13:04,37.217.1.253,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x0109AD5959D699B3C839D7873E0BFAF30DF61E3D2DBEEAA7968BEC8C137DDA8181C0A9FB62D7E823386527D827917C7E55E6249F04B3187EC026FBA9532BD1B217,3/27/2017 13:01,3/29/2017 8:50,63.249.51.143,I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Public Speaking,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
0x011E0AB67C31F70107C8F4EAC9022732740870E0B99E3D9E9581A7E6837F15BA970AECB23ED386A180C325CB7956F2A06916C4B35D5BFA9CE14DB929E6B1E4AB51,3/27/2017 12:58,3/27/2017 12:58,83.201.210.85,"I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Spring_2017_1st_Half_Elective_Preferences_Advanced_new
